timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB]
2022/04/17 15:44:32.868, 0, 0, 0, 11019
2022/04/17 15:44:33.069, 0, 0, 0, 11019
2022/04/17 15:44:33.269, 0, 0, 0, 11019
2022/04/17 15:44:33.470, 0, 0, 0, 11019
2022/04/17 15:44:33.671, 0, 0, 0, 11019
2022/04/17 15:44:33.871, 0, 0, 0, 11019
2022/04/17 15:44:34.072, 0, 0, 0, 11019
2022/04/17 15:44:34.272, 0, 0, 0, 11019
2022/04/17 15:44:34.473, 0, 0, 0, 11019
2022/04/17 15:44:34.674, 0, 0, 190, 10829
2022/04/17 15:44:34.874, 0, 0, 266, 10753
2022/04/17 15:44:35.075, 0, 0, 330, 10689
2022/04/17 15:44:35.276, 0, 0, 408, 10611
2022/04/17 15:44:35.476, 0, 0, 484, 10535
2022/04/17 15:44:35.677, 5, 0, 564, 10455
2022/04/17 15:44:35.878, 5, 0, 652, 10367
2022/04/17 15:44:36.079, 5, 0, 961, 10058
2022/04/17 15:44:36.279, 5, 0, 1119, 9900
2022/04/17 15:44:36.480, 5, 0, 1279, 9740
2022/04/17 15:44:36.681, 9, 0, 1455, 9564
2022/04/17 15:44:36.882, 9, 0, 1621, 9398
2022/04/17 15:44:37.083, 9, 0, 1765, 9254
2022/04/17 15:44:37.283, 9, 0, 1939, 9080
2022/04/17 15:44:37.484, 9, 0, 2123, 8896
2022/04/17 15:44:37.685, 10, 0, 2197, 8822
2022/04/17 15:44:37.886, 10, 0, 2351, 8668
2022/04/17 15:44:38.086, 10, 0, 2744, 8275
2022/04/17 15:44:38.287, 10, 0, 3006, 8013
2022/04/17 15:44:38.488, 10, 0, 6496, 4523
2022/04/17 15:44:38.689, 30, 6, 6586, 4433
2022/04/17 15:44:38.890, 30, 6, 6668, 4351
2022/04/17 15:44:39.090, 30, 6, 6910, 4109
2022/04/17 15:44:39.291, 30, 6, 7132, 3887
2022/04/17 15:44:39.492, 30, 6, 2231, 8788
2022/04/17 15:44:39.693, 55, 8, 5701, 5318
2022/04/17 15:44:39.893, 55, 8, 5735, 5284
2022/04/17 15:44:40.094, 55, 8, 5773, 5246
2022/04/17 15:44:40.294, 55, 8, 5847, 5172
2022/04/17 15:44:40.495, 55, 8, 910, 10109
2022/04/17 15:44:40.725, 65, 12, 982, 10037
2022/04/17 15:44:40.926, 65, 12, 1060, 9959
