timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/04/10 19:10:48.896, 6, 0, 546
2022/04/10 19:10:49.097, 5, 0, 600
2022/04/10 19:10:49.297, 6, 0, 656
2022/04/10 19:10:49.498, 6, 0, 724
2022/04/10 19:10:49.698, 5, 0, 788
2022/04/10 19:10:49.898, 4, 0, 852
2022/04/10 19:10:50.099, 4, 0, 918
2022/04/10 19:10:50.299, 6, 0, 982
2022/04/10 19:10:50.499, 5, 0, 1040
2022/04/10 19:10:50.700, 6, 0, 1160
2022/04/10 19:10:50.900, 0, 0, 1160
2022/04/10 19:10:51.100, 0, 0, 1160
2022/04/10 19:10:51.300, 4, 0, 1238
2022/04/10 19:10:51.501, 1, 0, 1386
2022/04/10 19:10:51.701, 65, 15, 4750
2022/04/10 19:10:51.901, 100, 10, 4750
2022/04/10 19:10:52.102, 100, 25, 4750
2022/04/10 19:10:52.302, 100, 22, 4750
2022/04/10 19:10:52.502, 46, 8, 4750
2022/04/10 19:10:52.703, 0, 0, 2836
2022/04/10 19:10:52.903, 82, 6, 365
2022/04/10 19:10:53.103, 9, 1, 365
2022/04/10 19:10:53.304, 0, 0, 365
2022/04/10 19:10:53.504, 0, 0, 365
2022/04/10 19:10:53.704, 1, 0, 438
2022/04/10 19:10:53.905, 5, 0, 496
2022/04/10 19:10:54.105, 5, 0, 560
2022/04/10 19:10:54.305, 4, 0, 620
2022/04/10 19:10:54.505, 5, 0, 672
2022/04/10 19:10:54.706, 4, 0, 732
2022/04/10 19:10:54.906, 6, 0, 796
2022/04/10 19:10:55.106, 5, 0, 856
2022/04/10 19:10:55.307, 4, 0, 922
2022/04/10 19:10:55.507, 5, 0, 978
2022/04/10 19:10:55.714, 6, 0, 1042
2022/04/10 19:10:55.914, 7, 0, 1238
2022/04/10 19:10:56.115, 4, 0, 1238
2022/04/10 19:10:56.315, 0, 0, 1396
2022/04/10 19:10:56.515, 100, 18, 4750
2022/04/10 19:10:56.716, 100, 19, 4750
2022/04/10 19:10:56.916, 100, 20, 4750
2022/04/10 19:10:57.116, 100, 18, 4750
2022/04/10 19:10:57.316, 100, 9, 4750
2022/04/10 19:10:57.517, 40, 3, 1380
2022/04/10 19:10:57.717, 51, 4, 365
2022/04/10 19:10:57.917, 0, 0, 365
2022/04/10 19:10:58.118, 0, 0, 365
2022/04/10 19:10:58.318, 0, 0, 365
2022/04/10 19:10:58.518, 3, 0, 450
2022/04/10 19:10:58.719, 5, 0, 508
2022/04/10 19:10:58.919, 4, 0, 566
2022/04/10 19:10:59.119, 5, 0, 636
2022/04/10 19:10:59.320, 5, 0, 694
2022/04/10 19:10:59.520, 5, 0, 756
2022/04/10 19:10:59.720, 5, 0, 810
2022/04/10 19:10:59.921, 5, 0, 876
2022/04/10 19:11:00.121, 5, 0, 932
2022/04/10 19:11:00.321, 4, 0, 998
2022/04/10 19:11:00.522, 5, 0, 1056
2022/04/10 19:11:00.722, 11, 0, 1238
2022/04/10 19:11:00.922, 0, 0, 1238
2022/04/10 19:11:01.123, 1, 0, 4750
2022/04/10 19:11:01.323, 65, 14, 4750
2022/04/10 19:11:01.523, 100, 24, 4750
2022/04/10 19:11:01.724, 100, 21, 4750
2022/04/10 19:11:01.924, 100, 9, 4750
2022/04/10 19:11:02.124, 42, 7, 4750
2022/04/10 19:11:02.325, 0, 0, 1000
2022/04/10 19:11:02.525, 0, 0, 365
2022/04/10 19:11:02.725, 0, 0, 365
2022/04/10 19:11:02.926, 0, 0, 365
2022/04/10 19:11:03.126, 0, 0, 369
2022/04/10 19:11:03.326, 1, 0, 466
2022/04/10 19:11:03.527, 4, 0, 526
2022/04/10 19:11:03.727, 5, 0, 588
2022/04/10 19:11:03.927, 5, 0, 654
2022/04/10 19:11:04.128, 5, 0, 718
2022/04/10 19:11:04.328, 4, 0, 788
2022/04/10 19:11:04.529, 5, 0, 840
2022/04/10 19:11:04.729, 6, 0, 902
2022/04/10 19:11:04.929, 5, 0, 958
2022/04/10 19:11:05.130, 5, 0, 1022
2022/04/10 19:11:05.330, 6, 0, 1160
2022/04/10 19:11:05.530, 8, 0, 1238
2022/04/10 19:11:05.731, 1, 0, 1386
2022/04/10 19:11:05.931, 50, 14, 4750
2022/04/10 19:11:06.131, 100, 8, 4750
2022/04/10 19:11:06.332, 100, 25, 4750
2022/04/10 19:11:06.532, 100, 20, 4750
2022/04/10 19:11:06.732, 58, 9, 4750
2022/04/10 19:11:06.933, 0, 0, 2088
2022/04/10 19:11:07.133, 75, 6, 365
2022/04/10 19:11:07.333, 15, 1, 365
2022/04/10 19:11:07.533, 0, 0, 365
2022/04/10 19:11:07.734, 0, 0, 365
2022/04/10 19:11:07.934, 0, 0, 432
2022/04/10 19:11:08.134, 5, 0, 494
2022/04/10 19:11:08.335, 6, 0, 552
2022/04/10 19:11:08.535, 5, 0, 618
2022/04/10 19:11:08.735, 5, 0, 680
2022/04/10 19:11:08.936, 5, 0, 744
2022/04/10 19:11:09.136, 5, 0, 806
2022/04/10 19:11:09.337, 4, 0, 864
2022/04/10 19:11:09.537, 5, 0, 926
2022/04/10 19:11:09.737, 4, 0, 980
2022/04/10 19:11:09.938, 5, 0, 1038
2022/04/10 19:11:10.138, 8, 0, 1238
2022/04/10 19:11:10.338, 4, 0, 1238
2022/04/10 19:11:10.538, 0, 0, 1408
2022/04/10 19:11:10.739, 100, 17, 4750
2022/04/10 19:11:10.939, 100, 20, 4750
2022/04/10 19:11:11.139, 100, 19, 4750
2022/04/10 19:11:11.340, 100, 17, 4750
2022/04/10 19:11:11.540, 99, 12, 4750
2022/04/10 19:11:11.740, 39, 3, 1374
2022/04/10 19:11:11.941, 52, 4, 365
2022/04/10 19:11:12.141, 0, 0, 365
2022/04/10 19:11:12.341, 0, 0, 365
2022/04/10 19:11:12.542, 0, 0, 365
2022/04/10 19:11:12.742, 2, 0, 440
2022/04/10 19:11:12.942, 5, 0, 504
2022/04/10 19:11:13.143, 4, 0, 560
2022/04/10 19:11:13.343, 6, 0, 620
2022/04/10 19:11:13.543, 5, 0, 678
2022/04/10 19:11:13.744, 5, 0, 744
2022/04/10 19:11:13.944, 5, 0, 804
2022/04/10 19:11:14.144, 5, 0, 862
2022/04/10 19:11:14.345, 5, 0, 924
2022/04/10 19:11:14.545, 4, 0, 980
2022/04/10 19:11:14.745, 4, 0, 1044
2022/04/10 19:11:14.946, 8, 0, 1238
2022/04/10 19:11:15.146, 2, 0, 1238
2022/04/10 19:11:15.346, 1, 0, 4750
2022/04/10 19:11:15.547, 55, 14, 4750
2022/04/10 19:11:15.747, 100, 25, 4750
2022/04/10 19:11:15.947, 100, 22, 4750
2022/04/10 19:11:16.148, 100, 9, 4750
2022/04/10 19:11:16.348, 53, 8, 4750
2022/04/10 19:11:16.548, 0, 0, 1020
2022/04/10 19:11:16.749, 7, 0, 365
2022/04/10 19:11:16.949, 0, 0, 365
2022/04/10 19:11:17.149, 0, 0, 365
2022/04/10 19:11:17.350, 0, 0, 365
2022/04/10 19:11:17.550, 1, 0, 462
2022/04/10 19:11:17.750, 5, 0, 524
2022/04/10 19:11:17.951, 5, 0, 590
2022/04/10 19:11:18.151, 5, 0, 652
2022/04/10 19:11:18.351, 6, 0, 710
2022/04/10 19:11:18.552, 5, 0, 778
2022/04/10 19:11:18.752, 5, 0, 834
2022/04/10 19:11:18.953, 5, 0, 896
2022/04/10 19:11:19.153, 5, 0, 960
2022/04/10 19:11:19.353, 5, 0, 1020
2022/04/10 19:11:19.554, 5, 0, 1160
2022/04/10 19:11:19.754, 3, 0, 1238
2022/04/10 19:11:19.954, 1, 0, 1394
2022/04/10 19:11:20.155, 59, 14, 4750
2022/04/10 19:11:20.355, 100, 10, 4750
2022/04/10 19:11:20.555, 100, 25, 4750
2022/04/10 19:11:20.756, 100, 9, 4750
2022/04/10 19:11:20.956, 49, 8, 4750
2022/04/10 19:11:21.156, 0, 0, 1384
2022/04/10 19:11:21.356, 86, 6, 365
2022/04/10 19:11:21.557, 4, 0, 365
2022/04/10 19:11:21.757, 0, 0, 365
2022/04/10 19:11:21.957, 0, 0, 365
2022/04/10 19:11:22.158, 1, 0, 448
2022/04/10 19:11:22.358, 4, 0, 504
2022/04/10 19:11:22.558, 6, 0, 568
2022/04/10 19:11:22.759, 7, 0, 624
2022/04/10 19:11:22.959, 5, 0, 686
2022/04/10 19:11:23.159, 5, 0, 750
2022/04/10 19:11:23.360, 4, 0, 812
2022/04/10 19:11:23.560, 5, 0, 866
2022/04/10 19:11:23.760, 6, 0, 934
2022/04/10 19:11:23.961, 5, 0, 988
2022/04/10 19:11:24.161, 4, 0, 1050
2022/04/10 19:11:24.361, 7, 0, 1238
2022/04/10 19:11:24.562, 4, 0, 1238
