timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/04/10 19:27:07.260, 5, 0, 482
2022/04/10 19:27:07.460, 5, 0, 540
2022/04/10 19:27:07.661, 5, 0, 600
2022/04/10 19:27:07.861, 5, 0, 652
2022/04/10 19:27:08.061, 6, 0, 720
2022/04/10 19:27:08.262, 5, 0, 786
2022/04/10 19:27:08.462, 5, 0, 856
2022/04/10 19:27:08.662, 5, 0, 916
2022/04/10 19:27:08.863, 4, 0, 982
2022/04/10 19:27:09.063, 7, 0, 1032
2022/04/10 19:27:09.263, 7, 0, 1160
2022/04/10 19:27:09.464, 0, 0, 1160
2022/04/10 19:27:09.664, 0, 0, 1160
2022/04/10 19:27:09.864, 4, 0, 1238
2022/04/10 19:27:10.065, 0, 0, 1374
2022/04/10 19:27:10.265, 44, 13, 4750
2022/04/10 19:27:10.465, 100, 9, 4750
2022/04/10 19:27:10.666, 100, 24, 4750
2022/04/10 19:27:10.866, 100, 20, 4750
2022/04/10 19:27:11.066, 66, 9, 4750
2022/04/10 19:27:11.267, 0, 0, 4750
2022/04/10 19:27:11.467, 61, 4, 365
2022/04/10 19:27:11.667, 30, 2, 365
2022/04/10 19:27:11.868, 0, 0, 365
2022/04/10 19:27:12.068, 0, 0, 365
2022/04/10 19:27:12.268, 0, 0, 369
2022/04/10 19:27:12.469, 3, 0, 547
2022/04/10 19:27:12.669, 10, 0, 663
2022/04/10 19:27:12.869, 9, 0, 779
2022/04/10 19:27:13.070, 10, 0, 889
2022/04/10 19:27:13.270, 9, 0, 1007
2022/04/10 19:27:13.470, 10, 0, 1127
2022/04/10 19:27:13.671, 11, 0, 1245
2022/04/10 19:27:13.871, 9, 0, 1367
2022/04/10 19:27:14.071, 10, 0, 1483
2022/04/10 19:27:14.273, 10, 0, 1607
2022/04/10 19:27:14.473, 9, 0, 1725
2022/04/10 19:27:14.674, 10, 0, 2033
2022/04/10 19:27:14.874, 13, 0, 2247
2022/04/10 19:27:15.074, 58, 15, 5785
2022/04/10 19:27:15.276, 100, 18, 9135
2022/04/10 19:27:15.476, 100, 25, 9135
