timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/04/03 18:15:19.573, 0, 0, 365
2022/04/03 18:15:19.773, 0, 0, 377
2022/04/03 18:15:19.974, 2, 0, 691
2022/04/03 18:15:20.174, 17, 0, 921
2022/04/03 18:15:20.374, 17, 0, 1145
2022/04/03 18:15:20.575, 19, 0, 1375
2022/04/03 18:15:20.775, 18, 0, 1611
2022/04/03 18:15:20.975, 21, 0, 1833
2022/04/03 18:15:21.175, 19, 0, 2053
2022/04/03 18:15:21.376, 20, 0, 2285
2022/04/03 18:15:21.576, 17, 0, 2523
2022/04/03 18:15:21.776, 18, 0, 2749
2022/04/03 18:15:21.977, 19, 0, 2963
2022/04/03 18:15:22.177, 20, 0, 3443
2022/04/03 18:15:22.377, 25, 1, 3545
2022/04/03 18:15:22.578, 17, 0, 3857
2022/04/03 18:15:22.778, 0, 0, 3857
2022/04/03 18:15:22.979, 1, 0, 4483
2022/04/03 18:15:23.179, 43, 15, 11967
2022/04/03 18:15:23.379, 100, 29, 11967
2022/04/03 18:15:23.579, 100, 23, 11967
2022/04/03 18:15:23.780, 100, 19, 11967
2022/04/03 18:15:23.980, 100, 15, 11967
2022/04/03 18:15:24.180, 100, 9, 11967
2022/04/03 18:15:24.381, 100, 20, 10437
2022/04/03 18:15:24.581, 100, 39, 7767
2022/04/03 18:15:24.781, 100, 21, 11861
2022/04/03 18:15:24.981, 100, 19, 11861
2022/04/03 18:15:25.182, 100, 25, 11861
2022/04/03 18:15:25.382, 100, 9, 11861
2022/04/03 18:15:25.582, 100, 17, 11958
2022/04/03 18:15:25.782, 100, 9, 11999
2022/04/03 18:15:25.983, 100, 28, 6633
2022/04/03 18:15:26.186, 100, 32, 4327
2022/04/03 18:15:26.387, 100, 15, 3905
2022/04/03 18:15:26.587, 3, 0, 3953
2022/04/03 18:15:26.787, 19, 1, 1495
2022/04/03 18:15:26.988, 57, 4, 872
2022/04/03 18:15:27.188, 13, 0, 1034
2022/04/03 18:15:27.388, 15, 0, 1202
2022/04/03 18:15:27.588, 14, 0, 1366
2022/04/03 18:15:27.789, 14, 0, 1593
2022/04/03 18:15:27.989, 21, 0, 1819
2022/04/03 18:15:28.189, 18, 0, 2071
2022/04/03 18:15:28.390, 22, 0, 2425
2022/04/03 18:15:28.590, 16, 0, 2597
2022/04/03 18:15:28.790, 37, 8, 6283
2022/04/03 18:15:28.990, 100, 12, 6449
2022/04/03 18:15:29.191, 100, 22, 6607
2022/04/03 18:15:29.391, 100, 20, 7035
2022/04/03 18:15:29.591, 83, 11, 7231
2022/04/03 18:15:29.791, 40, 11, 11227
2022/04/03 18:15:29.992, 100, 15, 7397
2022/04/03 18:15:30.192, 100, 32, 7551
2022/04/03 18:15:30.392, 100, 20, 7551
2022/04/03 18:15:30.593, 100, 12, 7713
2022/04/03 18:15:30.793, 100, 13, 11056
2022/04/03 18:15:30.993, 100, 19, 6728
2022/04/03 18:15:31.194, 100, 22, 6779
2022/04/03 18:15:31.394, 100, 19, 6831
2022/04/03 18:15:31.594, 100, 12, 6546
2022/04/03 18:15:31.794, 96, 23, 8860
2022/04/03 18:15:31.995, 100, 22, 5319
2022/04/03 18:15:32.195, 100, 21, 4596
2022/04/03 18:15:32.395, 70, 9, 4704
2022/04/03 18:15:32.596, 69, 5, 1324
2022/04/03 18:15:32.796, 22, 1, 995
2022/04/03 18:15:32.996, 9, 0, 1170
2022/04/03 18:15:33.197, 11, 0, 1306
2022/04/03 18:15:33.397, 16, 0, 1478
2022/04/03 18:15:33.597, 13, 0, 1695
2022/04/03 18:15:33.798, 18, 0, 2029
2022/04/03 18:15:33.998, 22, 0, 2295
2022/04/03 18:15:34.198, 14, 0, 2619
2022/04/03 18:15:34.399, 17, 0, 6165
2022/04/03 18:15:34.599, 100, 19, 6481
2022/04/03 18:15:34.799, 100, 20, 6599
2022/04/03 18:15:34.999, 100, 18, 10233
2022/04/03 18:15:35.200, 100, 9, 10351
2022/04/03 18:15:35.400, 100, 22, 8683
2022/04/03 18:15:35.600, 100, 29, 6233
2022/04/03 18:15:35.801, 100, 18, 9803
2022/04/03 18:15:36.001, 100, 9, 9930
2022/04/03 18:15:36.201, 100, 22, 10008
2022/04/03 18:15:36.402, 100, 20, 5634
2022/04/03 18:15:36.602, 100, 21, 9243
2022/04/03 18:15:36.802, 100, 9, 9303
2022/04/03 18:15:37.003, 100, 21, 9352
2022/04/03 18:15:37.203, 100, 18, 5824
2022/04/03 18:15:37.403, 100, 31, 5051
2022/04/03 18:15:37.604, 100, 9, 5115
2022/04/03 18:15:37.804, 23, 5, 5242
2022/04/03 18:15:38.004, 21, 1, 1780
2022/04/03 18:15:38.204, 78, 6, 1030
2022/04/03 18:15:38.405, 12, 0, 1214
2022/04/03 18:15:38.605, 12, 0, 1362
2022/04/03 18:15:38.805, 14, 0, 1528
2022/04/03 18:15:39.006, 14, 0, 1763
2022/04/03 18:15:39.206, 21, 0, 2095
2022/04/03 18:15:39.406, 16, 0, 2403
2022/04/03 18:15:39.606, 65, 14, 5945
2022/04/03 18:15:39.807, 100, 10, 6107
2022/04/03 18:15:40.007, 100, 25, 6283
2022/04/03 18:15:40.207, 100, 22, 6457
2022/04/03 18:15:40.407, 100, 9, 6737
2022/04/03 18:15:40.608, 12, 0, 7069
2022/04/03 18:15:40.808, 76, 5, 2987
2022/04/03 18:15:41.008, 58, 12, 6346
2022/04/03 18:15:41.209, 100, 10, 9768
2022/04/03 18:15:41.409, 100, 30, 9818
2022/04/03 18:15:41.609, 100, 17, 10008
2022/04/03 18:15:41.809, 100, 14, 10008
2022/04/03 18:15:42.010, 100, 9, 10669
2022/04/03 18:15:42.210, 100, 30, 7333
2022/04/03 18:15:42.410, 100, 26, 7393
2022/04/03 18:15:42.611, 100, 21, 7451
2022/04/03 18:15:42.811, 100, 9, 7507
2022/04/03 18:15:43.011, 96, 27, 5014
2022/04/03 18:15:43.212, 100, 25, 4571
2022/04/03 18:15:43.412, 100, 15, 4627
2022/04/03 18:15:43.612, 7, 0, 4760
2022/04/03 18:15:43.813, 11, 0, 2110
2022/04/03 18:15:44.013, 81, 6, 1114
2022/04/03 18:15:44.213, 13, 0, 1274
2022/04/03 18:15:44.414, 13, 0, 1426
2022/04/03 18:15:44.614, 11, 0, 1590
2022/04/03 18:15:44.814, 18, 0, 1886
2022/04/03 18:15:45.014, 9, 0, 2067
2022/04/03 18:15:45.215, 14, 0, 5741
2022/04/03 18:15:45.415, 75, 14, 5919
2022/04/03 18:15:45.615, 100, 12, 6105
2022/04/03 18:15:45.816, 100, 22, 6279
2022/04/03 18:15:46.016, 100, 9, 6443
2022/04/03 18:15:46.217, 53, 7, 6713
2022/04/03 18:15:46.417, 11, 0, 3415
2022/04/03 18:15:46.617, 71, 5, 2706
2022/04/03 18:15:46.818, 81, 15, 6188
2022/04/03 18:15:47.018, 100, 19, 6386
2022/04/03 18:15:47.218, 100, 20, 9812
2022/04/03 18:15:47.418, 100, 22, 10073
2022/04/03 18:15:47.619, 100, 9, 10125
2022/04/03 18:15:47.819, 100, 19, 10351
2022/04/03 18:15:48.019, 100, 29, 7419
2022/04/03 18:15:48.220, 100, 25, 7475
2022/04/03 18:15:48.420, 100, 9, 7525
2022/04/03 18:15:48.620, 100, 19, 7378
2022/04/03 18:15:48.821, 99, 30, 5370
2022/04/03 18:15:49.021, 100, 26, 4657
2022/04/03 18:15:49.221, 100, 9, 4750
2022/04/03 18:15:49.421, 50, 8, 4852
2022/04/03 18:15:49.622, 9, 0, 1866
2022/04/03 18:15:49.822, 30, 2, 1206
2022/04/03 18:15:50.022, 16, 0, 1370
2022/04/03 18:15:50.223, 13, 0, 1544
2022/04/03 18:15:50.423, 14, 0, 1798
2022/04/03 18:15:50.623, 13, 0, 2050
2022/04/03 18:15:50.824, 45, 11, 5617
