timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/04/03 17:49:22.351, 5, 0, 474
2022/04/03 17:49:22.551, 5, 0, 534
2022/04/03 17:49:22.751, 5, 0, 590
2022/04/03 17:49:22.952, 4, 0, 652
2022/04/03 17:49:23.152, 4, 0, 708
2022/04/03 17:49:23.352, 4, 0, 782
2022/04/03 17:49:23.552, 6, 0, 842
2022/04/03 17:49:23.753, 5, 0, 904
2022/04/03 17:49:23.953, 6, 0, 958
2022/04/03 17:49:24.153, 5, 0, 1016
2022/04/03 17:49:24.354, 4, 0, 1160
2022/04/03 17:49:24.554, 4, 0, 1160
2022/04/03 17:49:24.754, 0, 0, 1309
2022/04/03 17:49:24.955, 8, 0, 1355
2022/04/03 17:49:25.155, 7, 0, 1565
2022/04/03 17:49:25.355, 82, 16, 4983
2022/04/03 17:49:25.555, 100, 18, 5043
2022/04/03 17:49:25.756, 100, 20, 5099
2022/04/03 17:49:25.956, 100, 20, 5157
2022/04/03 17:49:26.156, 34, 6, 5213
2022/04/03 17:49:26.357, 22, 1, 1887
2022/04/03 17:49:26.557, 75, 5, 898
2022/04/03 17:49:26.757, 5, 0, 960
2022/04/03 17:49:26.957, 4, 0, 1024
2022/04/03 17:49:27.158, 8, 0, 1238
2022/04/03 17:49:27.358, 4, 0, 1309
2022/04/03 17:49:27.558, 6, 0, 1361
2022/04/03 17:49:27.759, 4, 0, 1559
2022/04/03 17:49:27.959, 6, 0, 4997
2022/04/03 17:49:28.159, 100, 18, 5059
2022/04/03 17:49:28.359, 100, 19, 5119
2022/04/03 17:49:28.560, 100, 20, 5177
2022/04/03 17:49:28.760, 100, 9, 5243
2022/04/03 17:49:28.960, 36, 6, 5305
2022/04/03 17:49:29.160, 6, 0, 936
2022/04/03 17:49:29.361, 5, 0, 994
2022/04/03 17:49:29.561, 5, 0, 1060
2022/04/03 17:49:29.761, 5, 0, 1238
2022/04/03 17:49:29.962, 6, 0, 1238
2022/04/03 17:49:30.162, 0, 0, 4809
2022/04/03 17:49:30.363, 100, 16, 4873
2022/04/03 17:49:30.563, 100, 21, 4931
2022/04/03 17:49:30.764, 100, 19, 4993
2022/04/03 17:49:30.964, 100, 16, 5051
2022/04/03 17:49:31.164, 94, 12, 5111
2022/04/03 17:49:31.365, 53, 4, 1519
2022/04/03 17:49:31.565, 43, 3, 792
2022/04/03 17:49:31.765, 5, 0, 848
2022/04/03 17:49:31.966, 4, 0, 904
