timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/14 13:30:26.221, 0, 0, 26
2022/03/14 13:30:26.424, 0, 0, 66
2022/03/14 13:30:26.626, 0, 0, 772
2022/03/14 13:30:26.826, 0, 0, 1084
2022/03/14 13:30:27.027, 0, 0, 1366
2022/03/14 13:30:27.228, 0, 0, 1618
2022/03/14 13:30:27.428, 14, 0, 1872
2022/03/14 13:30:27.629, 14, 0, 2134
2022/03/14 13:30:27.829, 14, 0, 2402
2022/03/14 13:30:28.030, 14, 0, 2642
2022/03/14 13:30:28.231, 14, 0, 2932
2022/03/14 13:30:28.431, 18, 0, 3232
2022/03/14 13:30:28.632, 18, 0, 3750
2022/03/14 13:30:28.833, 18, 0, 3814
2022/03/14 13:30:29.033, 18, 0, 4126
2022/03/14 13:30:29.234, 18, 0, 10986
2022/03/14 13:30:29.434, 20, 4, 10986
2022/03/14 13:30:29.635, 20, 4, 11008
2022/03/14 13:30:29.836, 20, 4, 10482
2022/03/14 13:30:30.037, 20, 4, 8663
2022/03/14 13:30:30.239, 20, 4, 4577
2022/03/14 13:30:30.445, 82, 19, 26
2022/03/14 13:30:30.646, 82, 19, 36
2022/03/14 13:30:30.855, 82, 19, 231
2022/03/14 13:30:31.056, 82, 19, 464
2022/03/14 13:30:31.264, 82, 19, 1010
2022/03/14 13:30:31.464, 14, 1, 1298
2022/03/14 13:30:31.665, 14, 1, 1584
2022/03/14 13:30:31.866, 14, 1, 1836
2022/03/14 13:30:32.066, 14, 1, 2114
2022/03/14 13:30:32.267, 14, 1, 2382
2022/03/14 13:30:32.467, 17, 0, 2664
2022/03/14 13:30:32.668, 17, 0, 2956
2022/03/14 13:30:32.869, 17, 0, 3378
2022/03/14 13:30:33.069, 17, 0, 3630
2022/03/14 13:30:33.270, 17, 0, 7652
2022/03/14 13:30:33.471, 31, 4, 10988
2022/03/14 13:30:33.671, 31, 4, 10772
2022/03/14 13:30:33.872, 31, 4, 9675
2022/03/14 13:30:34.073, 31, 4, 3523
2022/03/14 13:30:34.273, 31, 4, 3523
2022/03/14 13:30:34.474, 80, 20, 185
2022/03/14 13:30:34.708, 80, 20, 438
2022/03/14 13:30:34.909, 80, 20, 821
2022/03/14 13:30:35.110, 80, 20, 1001
2022/03/14 13:30:35.310, 16, 1, 1364
2022/03/14 13:30:35.511, 16, 1, 1630
2022/03/14 13:30:35.712, 16, 1, 1886
2022/03/14 13:30:35.912, 16, 1, 2154
2022/03/14 13:30:36.113, 16, 1, 2418
2022/03/14 13:30:36.314, 17, 0, 2680
2022/03/14 13:30:36.514, 17, 0, 2958
2022/03/14 13:30:36.715, 17, 0, 3332
2022/03/14 13:30:36.916, 17, 0, 7350
2022/03/14 13:30:37.116, 17, 0, 7418
2022/03/14 13:30:37.317, 53, 9, 10998
2022/03/14 13:30:37.518, 53, 9, 10033
2022/03/14 13:30:37.719, 53, 9, 4577
2022/03/14 13:30:37.919, 53, 9, 4577
2022/03/14 13:30:38.120, 53, 9, 4577
2022/03/14 13:30:38.320, 52, 14, 39
2022/03/14 13:30:38.542, 52, 14, 609
2022/03/14 13:30:38.743, 52, 14, 829
2022/03/14 13:30:38.943, 52, 14, 1017
2022/03/14 13:30:39.144, 52, 14, 1386
