timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/14 13:15:14.464, 0, 0, 26
2022/03/14 13:15:14.666, 0, 0, 324
2022/03/14 13:15:14.866, 0, 0, 520
2022/03/14 13:15:15.067, 0, 0, 656
2022/03/14 13:15:15.268, 0, 0, 800
2022/03/14 13:15:15.468, 0, 0, 930
2022/03/14 13:15:15.669, 9, 0, 1074
2022/03/14 13:15:15.870, 9, 0, 1208
2022/03/14 13:15:16.070, 9, 0, 1350
2022/03/14 13:15:16.271, 9, 0, 1482
2022/03/14 13:15:16.471, 9, 0, 1652
2022/03/14 13:15:16.672, 9, 0, 2076
2022/03/14 13:15:16.873, 9, 0, 2076
2022/03/14 13:15:17.073, 9, 0, 9128
2022/03/14 13:15:17.274, 9, 0, 9128
2022/03/14 13:15:17.475, 9, 0, 9128
2022/03/14 13:15:17.675, 63, 14, 9128
2022/03/14 13:15:17.876, 63, 14, 9128
2022/03/14 13:15:18.077, 63, 14, 9128
2022/03/14 13:15:18.277, 63, 14, 26
2022/03/14 13:15:18.478, 63, 14, 26
2022/03/14 13:15:18.679, 50, 9, 26
2022/03/14 13:15:18.879, 50, 9, 189
2022/03/14 13:15:19.080, 50, 9, 502
2022/03/14 13:15:19.281, 50, 9, 632
2022/03/14 13:15:19.481, 50, 9, 774
2022/03/14 13:15:19.682, 6, 0, 912
2022/03/14 13:15:19.882, 6, 0, 1050
2022/03/14 13:15:20.083, 6, 0, 1192
2022/03/14 13:15:20.284, 6, 0, 1330
2022/03/14 13:15:20.484, 6, 0, 1468
2022/03/14 13:15:20.685, 10, 0, 1624
2022/03/14 13:15:20.886, 10, 0, 1976
2022/03/14 13:15:21.086, 10, 0, 2212
2022/03/14 13:15:21.287, 10, 0, 9128
2022/03/14 13:15:21.487, 10, 0, 9128
2022/03/14 13:15:21.688, 49, 11, 9128
2022/03/14 13:15:21.889, 49, 11, 4577
2022/03/14 13:15:22.118, 49, 11, 4577
2022/03/14 13:15:22.319, 49, 11, 26
2022/03/14 13:15:22.537, 57, 13, 36
2022/03/14 13:15:22.741, 57, 13, 253
2022/03/14 13:15:22.942, 57, 13, 313
2022/03/14 13:15:23.142, 57, 13, 632
2022/03/14 13:15:23.343, 57, 13, 770
2022/03/14 13:15:23.543, 7, 0, 902
2022/03/14 13:15:23.744, 7, 0, 1044
2022/03/14 13:15:23.945, 7, 0, 1196
2022/03/14 13:15:24.145, 7, 0, 1338
2022/03/14 13:15:24.346, 7, 0, 1480
2022/03/14 13:15:24.547, 11, 0, 1706
2022/03/14 13:15:24.747, 11, 0, 1836
2022/03/14 13:15:24.948, 11, 0, 5602
2022/03/14 13:15:25.150, 11, 0, 5602
2022/03/14 13:15:25.352, 11, 0, 9128
2022/03/14 13:15:25.553, 72, 17, 9128
2022/03/14 13:15:25.754, 72, 17, 4577
2022/03/14 13:15:25.954, 72, 17, 4577
2022/03/14 13:15:26.155, 72, 17, 26
2022/03/14 13:15:26.356, 72, 17, 227
2022/03/14 13:15:26.557, 72, 17, 291
2022/03/14 13:15:26.758, 30, 6, 526
2022/03/14 13:15:26.959, 30, 6, 674
2022/03/14 13:15:27.160, 30, 6, 820
2022/03/14 13:15:27.360, 30, 6, 944
2022/03/14 13:15:27.561, 30, 6, 1088
2022/03/14 13:15:27.762, 9, 0, 1256
2022/03/14 13:15:27.962, 9, 0, 1414
2022/03/14 13:15:28.163, 9, 0, 1526
2022/03/14 13:15:28.364, 9, 0, 1788
2022/03/14 13:15:28.565, 9, 0, 5400
2022/03/14 13:15:28.765, 15, 2, 5602
2022/03/14 13:15:28.966, 15, 2, 8578
2022/03/14 13:15:29.167, 15, 2, 9128
2022/03/14 13:15:29.367, 15, 2, 4577
2022/03/14 13:15:29.568, 15, 2, 4577
2022/03/14 13:15:29.769, 87, 20, 4577
2022/03/14 13:15:29.970, 87, 20, 36
2022/03/14 13:15:30.170, 87, 20, 261
2022/03/14 13:15:30.371, 87, 20, 325
2022/03/14 13:15:30.572, 87, 20, 584
2022/03/14 13:15:30.772, 13, 1, 712
2022/03/14 13:15:30.973, 13, 1, 826
2022/03/14 13:15:31.174, 13, 1, 926
2022/03/14 13:15:31.374, 13, 1, 1060
2022/03/14 13:15:31.575, 13, 1, 1208
2022/03/14 13:15:31.776, 8, 0, 1350
2022/03/14 13:15:31.976, 8, 0, 1490
2022/03/14 13:15:32.177, 8, 0, 1780
2022/03/14 13:15:32.378, 8, 0, 1848
2022/03/14 13:15:32.578, 8, 0, 5602
2022/03/14 13:15:32.779, 24, 4, 5602
2022/03/14 13:15:32.980, 24, 4, 9128
2022/03/14 13:15:33.180, 24, 4, 4577
2022/03/14 13:15:33.414, 24, 4, 4577
2022/03/14 13:15:33.615, 76, 18, 4577
2022/03/14 13:15:33.816, 76, 18, 26
2022/03/14 13:15:34.021, 76, 18, 241
2022/03/14 13:15:34.222, 76, 18, 303
2022/03/14 13:15:34.423, 76, 18, 562
2022/03/14 13:15:34.623, 14, 1, 696
2022/03/14 13:15:34.824, 14, 1, 842
2022/03/14 13:15:35.025, 14, 1, 984
2022/03/14 13:15:35.225, 14, 1, 1122
2022/03/14 13:15:35.426, 14, 1, 1282
2022/03/14 13:15:35.626, 9, 0, 1402
2022/03/14 13:15:35.827, 9, 0, 1554
2022/03/14 13:15:36.040, 9, 0, 1798
2022/03/14 13:15:36.241, 9, 0, 5404
2022/03/14 13:15:36.442, 9, 0, 5602
2022/03/14 13:15:36.642, 48, 9, 9128
