timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/14 13:00:08.698, 0, 0, 26
2022/03/14 13:00:08.899, 0, 0, 334
2022/03/14 13:00:09.100, 0, 0, 538
2022/03/14 13:00:09.301, 0, 0, 684
2022/03/14 13:00:09.501, 0, 0, 798
2022/03/14 13:00:09.702, 0, 0, 960
2022/03/14 13:00:09.903, 10, 0, 1102
2022/03/14 13:00:10.103, 10, 0, 1246
2022/03/14 13:00:10.304, 10, 0, 1390
2022/03/14 13:00:10.505, 10, 0, 1534
2022/03/14 13:00:10.705, 10, 0, 1674
2022/03/14 13:00:10.906, 9, 0, 1920
2022/03/14 13:00:11.107, 9, 0, 1920
2022/03/14 13:00:11.307, 9, 0, 2076
2022/03/14 13:00:11.508, 9, 0, 9128
2022/03/14 13:00:11.708, 9, 0, 9128
2022/03/14 13:00:11.909, 42, 11, 9128
2022/03/14 13:00:12.110, 42, 11, 9128
2022/03/14 13:00:12.311, 42, 11, 9128
2022/03/14 13:00:12.512, 42, 11, 9128
2022/03/14 13:00:12.712, 42, 11, 26
2022/03/14 13:00:12.913, 70, 12, 26
2022/03/14 13:00:13.114, 70, 12, 26
2022/03/14 13:00:13.314, 70, 12, 189
2022/03/14 13:00:13.515, 70, 12, 504
2022/03/14 13:00:13.716, 70, 12, 654
2022/03/14 13:00:13.916, 5, 0, 798
2022/03/14 13:00:14.117, 5, 0, 932
2022/03/14 13:00:14.317, 5, 0, 1078
2022/03/14 13:00:14.518, 5, 0, 1212
2022/03/14 13:00:14.719, 5, 0, 1358
2022/03/14 13:00:14.919, 9, 0, 1496
2022/03/14 13:00:15.120, 9, 0, 1636
2022/03/14 13:00:15.321, 9, 0, 2076
2022/03/14 13:00:15.522, 9, 0, 2076
2022/03/14 13:00:15.722, 9, 0, 9128
2022/03/14 13:00:15.923, 32, 8, 9128
2022/03/14 13:00:16.124, 32, 8, 9128
2022/03/14 13:00:16.324, 32, 8, 9128
2022/03/14 13:00:16.525, 32, 8, 4577
2022/03/14 13:00:16.727, 32, 8, 4577
2022/03/14 13:00:16.927, 71, 15, 26
2022/03/14 13:00:17.128, 71, 15, 225
2022/03/14 13:00:17.329, 71, 15, 275
2022/03/14 13:00:17.529, 71, 15, 526
2022/03/14 13:00:17.730, 71, 15, 684
2022/03/14 13:00:17.930, 12, 1, 806
2022/03/14 13:00:18.131, 12, 1, 956
2022/03/14 13:00:18.334, 12, 1, 1108
2022/03/14 13:00:18.535, 12, 1, 1248
2022/03/14 13:00:18.736, 12, 1, 1398
2022/03/14 13:00:18.937, 9, 0, 1554
2022/03/14 13:00:19.137, 9, 0, 1822
2022/03/14 13:00:19.338, 9, 0, 5420
2022/03/14 13:00:19.539, 9, 0, 5602
2022/03/14 13:00:19.739, 9, 0, 9128
2022/03/14 13:00:19.949, 58, 13, 9128
2022/03/14 13:00:20.150, 58, 13, 4577
2022/03/14 13:00:20.351, 58, 13, 4577
2022/03/14 13:00:20.551, 58, 13, 26
2022/03/14 13:00:20.769, 58, 13, 175
2022/03/14 13:00:20.970, 46, 10, 263
2022/03/14 13:00:21.171, 46, 10, 339
2022/03/14 13:00:21.372, 46, 10, 646
2022/03/14 13:00:21.573, 46, 10, 768
2022/03/14 13:00:21.773, 46, 10, 900
2022/03/14 13:00:21.974, 8, 0, 1054
2022/03/14 13:00:22.175, 8, 0, 1192
2022/03/14 13:00:22.376, 8, 0, 1340
