timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/14 19:01:31.234, 0, 0, 26
2022/03/14 19:01:31.435, 0, 0, 229
2022/03/14 19:01:31.636, 0, 0, 317
2022/03/14 19:01:31.837, 0, 0, 598
2022/03/14 19:01:32.037, 0, 0, 744
2022/03/14 19:01:32.238, 7, 0, 858
2022/03/14 19:01:32.439, 7, 0, 1000
2022/03/14 19:01:32.639, 7, 0, 1158
2022/03/14 19:01:32.840, 7, 0, 1290
2022/03/14 19:01:33.040, 7, 0, 1432
2022/03/14 19:01:33.241, 9, 0, 1568
2022/03/14 19:01:33.442, 9, 0, 1732
2022/03/14 19:01:33.642, 9, 0, 1820
2022/03/14 19:01:33.843, 9, 0, 2076
2022/03/14 19:01:34.044, 9, 0, 9128
2022/03/14 19:01:34.244, 20, 4, 9128
2022/03/14 19:01:34.445, 20, 4, 9128
2022/03/14 19:01:34.646, 20, 4, 9128
2022/03/14 19:01:34.847, 20, 4, 9128
2022/03/14 19:01:35.047, 20, 4, 4577
2022/03/14 19:01:35.248, 83, 18, 26
2022/03/14 19:01:35.449, 83, 18, 26
2022/03/14 19:01:35.649, 83, 18, 191
2022/03/14 19:01:35.850, 83, 18, 281
2022/03/14 19:01:36.055, 83, 18, 570
2022/03/14 19:01:36.255, 13, 1, 718
2022/03/14 19:01:36.456, 13, 1, 846
2022/03/14 19:01:36.657, 13, 1, 984
2022/03/14 19:01:36.858, 13, 1, 1106
2022/03/14 19:01:37.059, 13, 1, 1254
2022/03/14 19:01:37.260, 9, 0, 1402
2022/03/14 19:01:37.460, 9, 0, 1552
2022/03/14 19:01:37.661, 9, 0, 1842
2022/03/14 19:01:37.862, 9, 0, 5602
2022/03/14 19:01:38.062, 9, 0, 5602
2022/03/14 19:01:38.263, 40, 8, 9128
2022/03/14 19:01:38.463, 40, 8, 9128
2022/03/14 19:01:38.665, 40, 8, 4577
2022/03/14 19:01:38.868, 40, 8, 4577
2022/03/14 19:01:39.069, 40, 8, 26
2022/03/14 19:01:39.320, 67, 16, 67
2022/03/14 19:01:39.520, 67, 16, 251
2022/03/14 19:01:39.721, 67, 16, 319
2022/03/14 19:01:39.932, 67, 16, 638
2022/03/14 19:01:40.132, 67, 16, 778
2022/03/14 19:01:40.333, 7, 0, 924
2022/03/14 19:01:40.534, 7, 0, 1056
2022/03/14 19:01:40.734, 7, 0, 1194
2022/03/14 19:01:40.935, 7, 0, 1330
2022/03/14 19:01:41.136, 7, 0, 1452
2022/03/14 19:01:41.336, 9, 0, 1656
2022/03/14 19:01:41.537, 9, 0, 1840
2022/03/14 19:01:41.737, 9, 0, 5524
2022/03/14 19:01:41.940, 9, 0, 5602
2022/03/14 19:01:42.141, 9, 0, 9128
2022/03/14 19:01:42.343, 61, 14, 9128
2022/03/14 19:01:42.554, 61, 14, 4577
2022/03/14 19:01:42.755, 61, 14, 4577
2022/03/14 19:01:42.956, 61, 14, 26
2022/03/14 19:01:43.157, 61, 14, 187
2022/03/14 19:01:43.358, 45, 10, 279
2022/03/14 19:01:43.559, 45, 10, 506
2022/03/14 19:01:43.760, 45, 10, 670
2022/03/14 19:01:43.960, 45, 10, 814
2022/03/14 19:01:44.161, 45, 10, 950
2022/03/14 19:01:44.362, 8, 0, 1102
2022/03/14 19:01:44.563, 8, 0, 1240
2022/03/14 19:01:44.764, 8, 0, 1396
2022/03/14 19:01:44.964, 8, 0, 1526
2022/03/14 19:01:45.165, 8, 0, 1802
2022/03/14 19:01:45.366, 10, 0, 1862
2022/03/14 19:01:45.567, 10, 0, 5602
2022/03/14 19:01:45.768, 10, 0, 5602
2022/03/14 19:01:45.968, 10, 0, 9128
2022/03/14 19:01:46.169, 10, 0, 4577
2022/03/14 19:01:46.369, 85, 20, 4577
2022/03/14 19:01:46.570, 85, 20, 4577
2022/03/14 19:01:46.771, 85, 20, 36
2022/03/14 19:01:46.973, 85, 20, 257
2022/03/14 19:01:47.173, 85, 20, 329
2022/03/14 19:01:47.374, 17, 2, 574
2022/03/14 19:01:47.575, 17, 2, 742
2022/03/14 19:01:47.775, 17, 2, 856
2022/03/14 19:01:47.976, 17, 2, 1000
2022/03/14 19:01:48.177, 17, 2, 1146
2022/03/14 19:01:48.377, 9, 0, 1262
2022/03/14 19:01:48.578, 9, 0, 1402
2022/03/14 19:01:48.778, 9, 0, 1548
2022/03/14 19:01:48.979, 9, 0, 1798
2022/03/14 19:01:49.180, 9, 0, 5390
2022/03/14 19:01:49.380, 23, 4, 5602
2022/03/14 19:01:49.581, 23, 4, 9128
2022/03/14 19:01:49.782, 23, 4, 9128
2022/03/14 19:01:49.983, 23, 4, 4577
2022/03/14 19:01:50.183, 23, 4, 4577
2022/03/14 19:01:50.384, 76, 18, 26
2022/03/14 19:01:50.585, 76, 18, 43
2022/03/14 19:01:50.785, 76, 18, 237
2022/03/14 19:01:50.986, 76, 18, 488
2022/03/14 19:01:51.187, 76, 18, 638
2022/03/14 19:01:51.387, 13, 1, 772
2022/03/14 19:01:51.588, 13, 1, 908
2022/03/14 19:01:51.788, 13, 1, 1068
2022/03/14 19:01:51.989, 13, 1, 1212
2022/03/14 19:01:52.190, 13, 1, 1328
2022/03/14 19:01:52.390, 10, 0, 1468
2022/03/14 19:01:52.591, 10, 0, 1702
2022/03/14 19:01:52.792, 10, 0, 1862
2022/03/14 19:01:52.992, 10, 0, 5602
2022/03/14 19:01:53.193, 10, 0, 5602
2022/03/14 19:01:53.393, 47, 9, 9128
2022/03/14 19:01:53.594, 47, 9, 9128
2022/03/14 19:01:53.795, 47, 9, 4577
2022/03/14 19:01:53.995, 47, 9, 4577
2022/03/14 19:01:54.196, 47, 9, 26
2022/03/14 19:01:54.397, 61, 14, 207
2022/03/14 19:01:54.597, 61, 14, 277
2022/03/14 19:01:54.798, 61, 14, 349
2022/03/14 19:01:54.999, 61, 14, 656
2022/03/14 19:01:55.199, 61, 14, 800
2022/03/14 19:01:55.400, 7, 0, 958
2022/03/14 19:01:55.601, 7, 0, 1088
2022/03/14 19:01:55.801, 7, 0, 1216
2022/03/14 19:01:56.002, 7, 0, 1356
2022/03/14 19:01:56.203, 7, 0, 1494
2022/03/14 19:01:56.403, 9, 0, 1790
2022/03/14 19:01:56.604, 9, 0, 1872
2022/03/14 19:01:56.804, 9, 0, 5524
2022/03/14 19:01:57.005, 9, 0, 5602
2022/03/14 19:01:57.207, 9, 0, 9128
2022/03/14 19:01:57.409, 68, 16, 4577
2022/03/14 19:01:57.632, 68, 16, 4577
2022/03/14 19:01:57.832, 68, 16, 4577
2022/03/14 19:01:58.033, 68, 16, 36
2022/03/14 19:01:58.240, 68, 16, 253
2022/03/14 19:01:58.441, 36, 7, 311
2022/03/14 19:01:58.642, 36, 7, 594
2022/03/14 19:01:58.842, 36, 7, 726
2022/03/14 19:01:59.043, 36, 7, 856
2022/03/14 19:01:59.243, 36, 7, 1014
2022/03/14 19:01:59.444, 8, 0, 1132
2022/03/14 19:01:59.645, 8, 0, 1274
2022/03/14 19:01:59.845, 8, 0, 1416
2022/03/14 19:02:00.046, 8, 0, 1662
2022/03/14 19:02:00.247, 8, 0, 1814
2022/03/14 19:02:00.447, 9, 0, 5412
2022/03/14 19:02:00.648, 9, 0, 5602
2022/03/14 19:02:00.848, 9, 0, 9128
2022/03/14 19:02:01.050, 9, 0, 9128
2022/03/14 19:02:01.252, 9, 0, 4577
2022/03/14 19:02:01.453, 92, 22, 4577
2022/03/14 19:02:01.654, 92, 22, 26
2022/03/14 19:02:01.854, 92, 22, 175
2022/03/14 19:02:02.055, 92, 22, 255
2022/03/14 19:02:02.256, 92, 22, 362
2022/03/14 19:02:02.456, 12, 1, 660
2022/03/14 19:02:02.657, 12, 1, 804
2022/03/14 19:02:02.858, 12, 1, 942
2022/03/14 19:02:03.058, 12, 1, 1088
2022/03/14 19:02:03.259, 12, 1, 1222
2022/03/14 19:02:03.459, 9, 0, 1368
2022/03/14 19:02:03.660, 9, 0, 1512
2022/03/14 19:02:03.861, 9, 0, 1798
2022/03/14 19:02:04.061, 9, 0, 1860
2022/03/14 19:02:04.262, 9, 0, 5602
2022/03/14 19:02:04.463, 33, 6, 5602
2022/03/14 19:02:04.663, 33, 6, 9128
2022/03/14 19:02:04.864, 33, 6, 4577
2022/03/14 19:02:05.066, 33, 6, 4577
2022/03/14 19:02:05.268, 33, 6, 4577
2022/03/14 19:02:05.469, 72, 16, 26
2022/03/14 19:02:05.669, 72, 16, 207
2022/03/14 19:02:05.870, 72, 16, 289
2022/03/14 19:02:06.071, 72, 16, 550
2022/03/14 19:02:06.271, 72, 16, 694
2022/03/14 19:02:06.472, 8, 0, 824
2022/03/14 19:02:06.673, 8, 0, 968
2022/03/14 19:02:06.873, 8, 0, 1100
2022/03/14 19:02:07.074, 8, 0, 1242
2022/03/14 19:02:07.275, 8, 0, 1412
2022/03/14 19:02:07.476, 9, 0, 1526
2022/03/14 19:02:07.677, 9, 0, 1808
2022/03/14 19:02:07.877, 9, 0, 5402
2022/03/14 19:02:08.078, 9, 0, 5602
2022/03/14 19:02:08.279, 9, 0, 9128
2022/03/14 19:02:08.480, 55, 12, 9128
2022/03/14 19:02:08.680, 55, 12, 4577
2022/03/14 19:02:08.881, 55, 12, 4577
2022/03/14 19:02:09.082, 55, 12, 4577
2022/03/14 19:02:09.282, 55, 12, 43
2022/03/14 19:02:09.483, 51, 11, 265
2022/03/14 19:02:09.683, 51, 11, 325
2022/03/14 19:02:09.884, 51, 11, 588
2022/03/14 19:02:10.085, 51, 11, 710
2022/03/14 19:02:10.285, 51, 11, 850
2022/03/14 19:02:10.486, 7, 0, 1002
2022/03/14 19:02:10.687, 7, 0, 1144
2022/03/14 19:02:10.887, 7, 0, 1270
2022/03/14 19:02:11.088, 7, 0, 1436
2022/03/14 19:02:11.288, 7, 0, 1560
2022/03/14 19:02:11.489, 11, 0, 1818
2022/03/14 19:02:11.690, 11, 0, 5408
2022/03/14 19:02:11.890, 11, 0, 5602
2022/03/14 19:02:12.091, 11, 0, 9128
2022/03/14 19:02:12.292, 11, 0, 9128
2022/03/14 19:02:12.494, 78, 18, 4577
2022/03/14 19:02:12.695, 78, 18, 4577
2022/03/14 19:02:12.895, 78, 18, 4577
