timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/02/27 10:15:06.060, 1, 0, 470
2022/02/27 10:15:06.261, 1, 0, 612
2022/02/27 10:15:06.462, 1, 0, 756
2022/02/27 10:15:06.662, 8, 0, 896
2022/02/27 10:15:06.863, 8, 0, 1012
2022/02/27 10:15:07.064, 8, 0, 1158
2022/02/27 10:15:07.264, 8, 0, 1296
2022/02/27 10:15:07.465, 8, 0, 1432
2022/02/27 10:15:07.666, 10, 0, 1584
2022/02/27 10:15:07.866, 10, 0, 1802
2022/02/27 10:15:08.067, 10, 0, 1920
2022/02/27 10:15:08.267, 10, 0, 2076
2022/02/27 10:15:08.468, 10, 0, 2076
2022/02/27 10:15:08.669, 8, 1, 5632
2022/02/27 10:15:08.869, 8, 1, 5632
2022/02/27 10:15:09.070, 8, 1, 9188
2022/02/27 10:15:09.271, 8, 1, 9188
2022/02/27 10:15:09.471, 8, 1, 4607
2022/02/27 10:15:09.672, 92, 22, 4607
2022/02/27 10:15:09.873, 92, 22, 26
2022/02/27 10:15:10.078, 92, 22, 199
2022/02/27 10:15:10.278, 92, 22, 289
2022/02/27 10:15:10.479, 92, 22, 371
2022/02/27 10:15:10.680, 12, 1, 622
2022/02/27 10:15:10.880, 12, 1, 778
2022/02/27 10:15:11.081, 12, 1, 904
2022/02/27 10:15:11.282, 12, 1, 1032
2022/02/27 10:15:11.482, 12, 1, 1172
2022/02/27 10:15:11.683, 10, 0, 1292
2022/02/27 10:15:11.883, 10, 0, 1446
2022/02/27 10:15:12.084, 10, 0, 1736
2022/02/27 10:15:12.285, 10, 0, 1808
2022/02/27 10:15:12.485, 10, 0, 5424
2022/02/27 10:15:12.686, 23, 4, 5632
2022/02/27 10:15:12.887, 23, 4, 5632
2022/02/27 10:15:13.088, 23, 4, 9188
2022/02/27 10:15:13.289, 23, 4, 4607
2022/02/27 10:15:13.489, 23, 4, 4607
2022/02/27 10:15:13.690, 78, 19, 4607
2022/02/27 10:15:13.890, 78, 19, 26
2022/02/27 10:15:14.091, 78, 19, 223
2022/02/27 10:15:14.292, 78, 19, 275
2022/02/27 10:15:14.492, 78, 19, 345
2022/02/27 10:15:14.693, 13, 1, 636
2022/02/27 10:15:14.893, 13, 1, 780
2022/02/27 10:15:15.094, 13, 1, 914
2022/02/27 10:15:15.295, 13, 1, 1064
2022/02/27 10:15:15.495, 13, 1, 1220
2022/02/27 10:15:15.696, 10, 0, 1368
2022/02/27 10:15:15.896, 10, 0, 1516
2022/02/27 10:15:16.097, 10, 0, 1786
2022/02/27 10:15:16.298, 10, 0, 1844
2022/02/27 10:15:16.498, 10, 0, 5554
2022/02/27 10:15:16.699, 29, 6, 5632
2022/02/27 10:15:16.900, 29, 6, 9188
2022/02/27 10:15:17.102, 29, 6, 9188
2022/02/27 10:15:17.303, 29, 6, 4607
2022/02/27 10:15:17.503, 29, 6, 4607
2022/02/27 10:15:17.704, 72, 17, 26
2022/02/27 10:15:17.910, 72, 17, 179
2022/02/27 10:15:18.111, 72, 17, 267
2022/02/27 10:15:18.312, 72, 17, 331
2022/02/27 10:15:18.512, 72, 17, 584
2022/02/27 10:15:18.713, 14, 1, 716
2022/02/27 10:15:18.914, 14, 1, 864
2022/02/27 10:15:19.114, 14, 1, 1000
2022/02/27 10:15:19.315, 14, 1, 1130
2022/02/27 10:15:19.515, 14, 1, 1274
2022/02/27 10:15:19.716, 9, 0, 1400
2022/02/27 10:15:19.917, 9, 0, 1516
