timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/02 11:30:34.445, 0, 0, 321
2022/03/02 11:30:34.646, 0, 0, 403
2022/03/02 11:30:34.847, 3, 0, 451
2022/03/02 11:30:35.047, 3, 0, 531
2022/03/02 11:30:35.248, 3, 0, 597
2022/03/02 11:30:35.448, 3, 0, 659
2022/03/02 11:30:35.649, 3, 0, 725
2022/03/02 11:30:35.850, 5, 0, 793
2022/03/02 11:30:36.050, 5, 0, 909
2022/03/02 11:30:36.251, 5, 0, 973
2022/03/02 11:30:36.452, 5, 0, 1051
2022/03/02 11:30:36.652, 5, 0, 1250
2022/03/02 11:30:36.853, 4, 0, 4872
2022/03/02 11:30:37.054, 4, 0, 4938
2022/03/02 11:30:37.254, 4, 0, 5016
2022/03/02 11:30:37.465, 4, 0, 5086
2022/03/02 11:30:37.665, 4, 0, 565
2022/03/02 11:30:37.866, 59, 12, 635
2022/03/02 11:30:38.066, 59, 12, 685
2022/03/02 11:30:38.267, 59, 12, 794
2022/03/02 11:30:38.468, 59, 12, 1062
2022/03/02 11:30:38.668, 59, 12, 1296
2022/03/02 11:30:38.869, 8, 0, 1456
2022/03/02 11:30:39.070, 8, 0, 5080
2022/03/02 11:30:39.270, 8, 0, 5154
2022/03/02 11:30:39.472, 8, 0, 5218
2022/03/02 11:30:39.674, 8, 0, 5286
2022/03/02 11:30:39.874, 51, 11, 757
2022/03/02 11:30:40.075, 51, 11, 815
2022/03/02 11:30:40.275, 51, 11, 951
2022/03/02 11:30:40.476, 51, 11, 1246
2022/03/02 11:30:40.677, 51, 11, 4886
2022/03/02 11:30:40.879, 24, 4, 4964
2022/03/02 11:30:41.079, 24, 4, 5026
2022/03/02 11:30:41.280, 24, 4, 5096
2022/03/02 11:30:41.481, 24, 4, 571
2022/03/02 11:30:41.681, 24, 4, 631
2022/03/02 11:30:41.882, 44, 8, 665
2022/03/02 11:30:42.083, 44, 8, 924
2022/03/02 11:30:42.283, 44, 8, 1080
2022/03/02 11:30:42.484, 44, 8, 1298
2022/03/02 11:30:42.684, 44, 8, 1440
2022/03/02 11:30:42.885, 8, 0, 5060
2022/03/02 11:30:43.086, 8, 0, 5136
2022/03/02 11:30:43.286, 8, 0, 5204
2022/03/02 11:30:43.487, 8, 0, 5272
2022/03/02 11:30:43.688, 8, 0, 745
2022/03/02 11:30:43.888, 56, 12, 833
2022/03/02 11:30:44.089, 56, 12, 1051
2022/03/02 11:30:44.289, 56, 12, 1230
2022/03/02 11:30:44.490, 56, 12, 4850
2022/03/02 11:30:44.691, 56, 12, 4916
2022/03/02 11:30:44.892, 43, 9, 4980
2022/03/02 11:30:45.093, 43, 9, 475
2022/03/02 11:30:45.318, 43, 9, 549
2022/03/02 11:30:45.519, 43, 9, 617
2022/03/02 11:30:45.720, 43, 9, 687
2022/03/02 11:30:45.925, 19, 3, 958
2022/03/02 11:30:46.125, 19, 3, 1092
2022/03/02 11:30:46.326, 19, 3, 1218
2022/03/02 11:30:46.527, 19, 3, 1472
2022/03/02 11:30:46.727, 19, 3, 5096
2022/03/02 11:30:46.928, 16, 3, 5178
2022/03/02 11:30:47.129, 16, 3, 5244
2022/03/02 11:30:47.330, 16, 3, 5318
2022/03/02 11:30:47.530, 16, 3, 797
2022/03/02 11:30:47.731, 16, 3, 863
2022/03/02 11:30:47.932, 49, 9, 1051
2022/03/02 11:30:48.132, 49, 9, 1204
2022/03/02 11:30:48.333, 49, 9, 4854
2022/03/02 11:30:48.534, 49, 9, 4928
2022/03/02 11:30:48.738, 49, 9, 4978
2022/03/02 11:30:48.939, 47, 11, 461
2022/03/02 11:30:49.140, 47, 11, 523
2022/03/02 11:30:49.341, 47, 11, 573
2022/03/02 11:30:49.541, 47, 11, 647
2022/03/02 11:30:49.743, 47, 11, 936
2022/03/02 11:30:49.943, 14, 1, 1076
2022/03/02 11:30:50.144, 14, 1, 1250
2022/03/02 11:30:50.344, 14, 1, 1500
2022/03/02 11:30:50.545, 14, 1, 4570
2022/03/02 11:30:50.746, 14, 1, 5192
2022/03/02 11:30:50.946, 36, 7, 5266
2022/03/02 11:30:51.147, 36, 7, 5330
2022/03/02 11:30:51.348, 36, 7, 807
2022/03/02 11:30:51.549, 36, 7, 863
2022/03/02 11:30:51.750, 36, 7, 1051
2022/03/02 11:30:51.951, 29, 5, 1083
2022/03/02 11:30:52.152, 29, 5, 4812
2022/03/02 11:30:52.353, 29, 5, 4898
2022/03/02 11:30:52.554, 29, 5, 4942
2022/03/02 11:30:52.755, 29, 5, 415
2022/03/02 11:30:52.955, 56, 12, 479
2022/03/02 11:30:53.156, 56, 12, 539
2022/03/02 11:30:53.357, 56, 12, 780
2022/03/02 11:30:53.557, 56, 12, 930
2022/03/02 11:30:53.758, 56, 12, 1082
2022/03/02 11:30:53.959, 7, 0, 1246
2022/03/02 11:30:54.159, 7, 0, 1466
2022/03/02 11:30:54.360, 7, 0, 1600
2022/03/02 11:30:54.560, 7, 0, 5228
2022/03/02 11:30:54.762, 7, 0, 5284
2022/03/02 11:30:54.963, 40, 7, 5348
2022/03/02 11:30:55.165, 40, 7, 5414
2022/03/02 11:30:55.366, 40, 7, 931
2022/03/02 11:30:55.566, 40, 7, 1051
2022/03/02 11:30:55.767, 40, 7, 4607
2022/03/02 11:30:55.967, 39, 8, 4617
2022/03/02 11:30:56.256, 39, 8, 4850
2022/03/02 11:30:56.457, 39, 8, 4900
2022/03/02 11:30:56.657, 39, 8, 371
2022/03/02 11:30:56.858, 39, 8, 449
2022/03/02 11:30:57.059, 44, 8, 531
2022/03/02 11:30:57.259, 44, 8, 760
2022/03/02 11:30:57.460, 44, 8, 914
2022/03/02 11:30:57.660, 44, 8, 1050
2022/03/02 11:30:57.861, 44, 8, 1194
2022/03/02 11:30:58.062, 8, 0, 1512
2022/03/02 11:30:58.262, 8, 0, 1572
2022/03/02 11:30:58.463, 8, 0, 5196
2022/03/02 11:30:58.664, 8, 0, 5264
2022/03/02 11:30:58.865, 8, 0, 5338
2022/03/02 11:30:59.066, 52, 11, 5412
2022/03/02 11:30:59.267, 52, 11, 1051
2022/03/02 11:30:59.467, 52, 11, 1051
2022/03/02 11:30:59.668, 52, 11, 4607
2022/03/02 11:30:59.869, 52, 11, 4816
2022/03/02 11:31:00.069, 37, 8, 4884
2022/03/02 11:31:00.276, 37, 8, 4954
2022/03/02 11:31:00.476, 37, 8, 437
2022/03/02 11:31:00.677, 37, 8, 499
2022/03/02 11:31:00.877, 37, 8, 567
2022/03/02 11:31:01.078, 33, 5, 639
2022/03/02 11:31:01.282, 33, 5, 934
2022/03/02 11:31:01.482, 33, 5, 1082
2022/03/02 11:31:01.683, 33, 5, 1226
2022/03/02 11:31:01.883, 33, 5, 1488
2022/03/02 11:31:02.084, 9, 0, 1576
2022/03/02 11:31:02.285, 9, 0, 5206
2022/03/02 11:31:02.486, 9, 0, 5274
2022/03/02 11:31:02.687, 9, 0, 5338
2022/03/02 11:31:02.887, 9, 0, 811
2022/03/02 11:31:03.088, 57, 12, 873
2022/03/02 11:31:03.289, 57, 12, 1051
2022/03/02 11:31:03.489, 57, 12, 1202
2022/03/02 11:31:03.690, 57, 12, 4852
2022/03/02 11:31:03.891, 57, 12, 4934
2022/03/02 11:31:04.092, 44, 10, 5006
2022/03/02 11:31:04.292, 44, 10, 469
2022/03/02 11:31:04.493, 44, 10, 521
2022/03/02 11:31:04.694, 44, 10, 585
2022/03/02 11:31:04.894, 44, 10, 655
2022/03/02 11:31:05.095, 17, 2, 928
2022/03/02 11:31:05.295, 17, 2, 1070
2022/03/02 11:31:05.496, 17, 2, 1218
2022/03/02 11:31:05.697, 17, 2, 1482
2022/03/02 11:31:05.897, 17, 2, 1554
2022/03/02 11:31:06.098, 10, 1, 5172
2022/03/02 11:31:06.299, 10, 1, 5240
2022/03/02 11:31:06.499, 10, 1, 5312
2022/03/02 11:31:06.700, 10, 1, 775
2022/03/02 11:31:06.900, 10, 1, 845
2022/03/02 11:31:07.101, 55, 11, 1051
2022/03/02 11:31:07.302, 55, 11, 1061
2022/03/02 11:31:07.502, 55, 11, 4834
2022/03/02 11:31:07.703, 55, 11, 4906
2022/03/02 11:31:07.905, 55, 11, 4978
2022/03/02 11:31:08.106, 48, 11, 5058
2022/03/02 11:31:08.306, 48, 11, 513
2022/03/02 11:31:08.507, 48, 11, 579
2022/03/02 11:31:08.708, 48, 11, 631
2022/03/02 11:31:08.908, 48, 11, 878
2022/03/02 11:31:09.109, 13, 1, 1042
2022/03/02 11:31:09.309, 13, 1, 1182
2022/03/02 11:31:09.510, 13, 1, 1464
2022/03/02 11:31:09.711, 13, 1, 1526
2022/03/02 11:31:09.911, 13, 1, 5154
2022/03/02 11:31:10.112, 31, 7, 5222
2022/03/02 11:31:10.313, 31, 7, 5280
2022/03/02 11:31:10.513, 31, 7, 757
2022/03/02 11:31:10.714, 31, 7, 825
2022/03/02 11:31:10.915, 31, 7, 953
2022/03/02 11:31:11.115, 34, 5, 1061
2022/03/02 11:31:11.316, 34, 5, 4846
2022/03/02 11:31:11.517, 34, 5, 4930
2022/03/02 11:31:11.718, 34, 5, 4998
2022/03/02 11:31:11.918, 34, 5, 5066
2022/03/02 11:31:12.119, 48, 11, 541
2022/03/02 11:31:12.319, 48, 11, 613
2022/03/02 11:31:12.520, 48, 11, 661
2022/03/02 11:31:12.721, 48, 11, 743
2022/03/02 11:31:12.921, 48, 11, 1046
2022/03/02 11:31:13.122, 15, 1, 1236
2022/03/02 11:31:13.322, 15, 1, 1424
2022/03/02 11:31:13.523, 15, 1, 5042
2022/03/02 11:31:13.724, 15, 1, 5120
2022/03/02 11:31:13.925, 15, 1, 5188
2022/03/02 11:31:14.126, 50, 11, 5266
2022/03/02 11:31:14.327, 50, 11, 737
2022/03/02 11:31:14.527, 50, 11, 799
2022/03/02 11:31:14.728, 50, 11, 843
2022/03/02 11:31:14.928, 50, 11, 1248
2022/03/02 11:31:15.129, 15, 1, 1332
2022/03/02 11:31:15.330, 15, 1, 4962
2022/03/02 11:31:15.532, 15, 1, 5028
2022/03/02 11:31:15.732, 15, 1, 5094
2022/03/02 11:31:15.933, 15, 1, 5168
2022/03/02 11:31:16.134, 54, 11, 643
2022/03/02 11:31:16.334, 54, 11, 725
2022/03/02 11:31:16.535, 54, 11, 785
2022/03/02 11:31:16.736, 54, 11, 1048
2022/03/02 11:31:16.936, 54, 11, 1334
2022/03/02 11:31:17.137, 10, 1, 1424
2022/03/02 11:31:17.337, 10, 1, 5048
2022/03/02 11:31:17.538, 10, 1, 5118
2022/03/02 11:31:17.739, 10, 1, 5190
2022/03/02 11:31:17.939, 10, 1, 5254
2022/03/02 11:31:18.140, 56, 12, 723
2022/03/02 11:31:18.341, 56, 12, 807
2022/03/02 11:31:18.541, 56, 12, 853
2022/03/02 11:31:18.742, 56, 12, 1234
2022/03/02 11:31:18.943, 56, 12, 1332
2022/03/02 11:31:19.143, 13, 3, 4958
2022/03/02 11:31:19.345, 13, 3, 5040
2022/03/02 11:31:19.546, 13, 3, 5104
2022/03/02 11:31:19.747, 13, 3, 581
2022/03/02 11:31:19.948, 13, 3, 655
2022/03/02 11:31:20.149, 50, 10, 707
2022/03/02 11:31:20.349, 50, 10, 798
2022/03/02 11:31:20.550, 50, 10, 1072
2022/03/02 11:31:20.750, 50, 10, 1382
2022/03/02 11:31:20.951, 50, 10, 1454
2022/03/02 11:31:21.152, 8, 0, 5082
2022/03/02 11:31:21.353, 8, 0, 5144
2022/03/02 11:31:21.553, 8, 0, 5218
2022/03/02 11:31:21.754, 8, 0, 5276
2022/03/02 11:31:21.954, 8, 0, 741
2022/03/02 11:31:22.155, 57, 12, 811
2022/03/02 11:31:22.355, 57, 12, 895
2022/03/02 11:31:22.556, 57, 12, 1242
2022/03/02 11:31:22.757, 57, 12, 4870
2022/03/02 11:31:22.957, 57, 12, 4942
2022/03/02 11:31:23.158, 40, 9, 5028
2022/03/02 11:31:23.361, 40, 9, 5088
2022/03/02 11:31:23.562, 40, 9, 559
2022/03/02 11:31:23.763, 40, 9, 619
2022/03/02 11:31:23.963, 40, 9, 681
2022/03/02 11:31:24.164, 23, 3, 886
2022/03/02 11:31:24.364, 23, 3, 1064
2022/03/02 11:31:24.568, 23, 3, 1286
2022/03/02 11:31:24.769, 23, 3, 1450
2022/03/02 11:31:24.969, 23, 3, 5080
2022/03/02 11:31:25.170, 22, 5, 5144
2022/03/02 11:31:25.370, 22, 5, 5218
2022/03/02 11:31:25.581, 22, 5, 5292
2022/03/02 11:31:25.781, 22, 5, 759
2022/03/02 11:31:25.982, 22, 5, 833
2022/03/02 11:31:26.183, 43, 7, 1051
2022/03/02 11:31:26.383, 43, 7, 1061
2022/03/02 11:31:26.626, 43, 7, 4848
2022/03/02 11:31:26.827, 43, 7, 4896
2022/03/02 11:31:27.029, 43, 7, 4960
2022/03/02 11:31:27.229, 48, 11, 445
2022/03/02 11:31:27.455, 48, 11, 517
2022/03/02 11:31:27.656, 48, 11, 585
2022/03/02 11:31:27.857, 48, 11, 661
2022/03/02 11:31:28.062, 48, 11, 934
2022/03/02 11:31:28.262, 14, 1, 1066
2022/03/02 11:31:28.463, 14, 1, 1216
2022/03/02 11:31:28.664, 14, 1, 1484
2022/03/02 11:31:28.864, 14, 1, 1564
2022/03/02 11:31:29.065, 14, 1, 5196
2022/03/02 11:31:29.265, 30, 6, 5256
2022/03/02 11:31:29.471, 30, 6, 5324
2022/03/02 11:31:29.672, 30, 6, 821
2022/03/02 11:31:29.872, 30, 6, 869
2022/03/02 11:31:30.073, 30, 6, 1051
2022/03/02 11:31:30.273, 36, 6, 1061
2022/03/02 11:31:30.478, 36, 6, 4832
2022/03/02 11:31:30.679, 36, 6, 4914
2022/03/02 11:31:30.889, 36, 6, 4978
2022/03/02 11:31:31.090, 36, 6, 467
2022/03/02 11:31:31.303, 54, 12, 525
2022/03/02 11:31:31.504, 54, 12, 587
2022/03/02 11:31:31.705, 54, 12, 665
2022/03/02 11:31:31.905, 54, 12, 954
2022/03/02 11:31:32.106, 54, 12, 1098
2022/03/02 11:31:32.306, 8, 0, 1240
2022/03/02 11:31:32.507, 8, 0, 1488
2022/03/02 11:31:32.708, 8, 0, 5114
2022/03/02 11:31:32.908, 8, 0, 5186
2022/03/02 11:31:33.109, 8, 0, 5248
2022/03/02 11:31:33.315, 50, 11, 5330
2022/03/02 11:31:33.515, 50, 11, 811
2022/03/02 11:31:33.716, 50, 11, 861
2022/03/02 11:31:33.917, 50, 11, 1051
2022/03/02 11:31:34.117, 50, 11, 1244
2022/03/02 11:31:34.318, 14, 1, 4870
2022/03/02 11:31:34.518, 14, 1, 4946
2022/03/02 11:31:34.719, 14, 1, 5026
2022/03/02 11:31:34.921, 14, 1, 507
2022/03/02 11:31:35.144, 14, 1, 581
2022/03/02 11:31:35.344, 57, 12, 667
2022/03/02 11:31:35.545, 57, 12, 753
2022/03/02 11:31:35.755, 57, 12, 1020
