timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/03/02 10:53:53.615, 0, 0, 0
2022/03/02 10:53:53.816, 0, 0, 0
2022/03/02 10:53:54.017, 0, 0, 0
2022/03/02 10:53:54.217, 0, 0, 0
2022/03/02 10:53:54.418, 0, 0, 0
2022/03/02 10:53:54.618, 0, 0, 0
2022/03/02 10:53:54.819, 0, 0, 3
2022/03/02 10:53:55.020, 0, 0, 26
2022/03/02 10:53:55.221, 0, 0, 26
2022/03/02 10:53:55.422, 0, 0, 324
2022/03/02 10:53:55.622, 0, 0, 330
2022/03/02 10:53:55.823, 0, 0, 332
2022/03/02 10:53:56.024, 0, 0, 342
2022/03/02 10:53:56.224, 0, 0, 350
2022/03/02 10:53:56.425, 1, 0, 354
2022/03/02 10:53:56.626, 1, 0, 406
2022/03/02 10:53:56.826, 1, 0, 422
2022/03/02 10:53:57.027, 1, 0, 432
2022/03/02 10:53:57.228, 1, 0, 442
2022/03/02 10:53:57.428, 1, 0, 470
2022/03/02 10:53:57.629, 1, 0, 482
2022/03/02 10:53:57.830, 1, 0, 492
2022/03/02 10:53:58.030, 1, 0, 550
2022/03/02 10:53:58.231, 1, 0, 564
2022/03/02 10:53:58.432, 2, 0, 582
2022/03/02 10:53:58.632, 2, 0, 618
2022/03/02 10:53:58.833, 2, 0, 644
2022/03/02 10:53:59.033, 2, 0, 670
2022/03/02 10:53:59.234, 2, 0, 686
2022/03/02 10:53:59.435, 2, 0, 710
2022/03/02 10:53:59.635, 2, 0, 750
2022/03/02 10:53:59.836, 2, 0, 782
2022/03/02 10:54:00.037, 2, 0, 806
2022/03/02 10:54:00.237, 2, 0, 844
2022/03/02 10:54:00.438, 2, 0, 878
2022/03/02 10:54:00.639, 2, 0, 900
2022/03/02 10:54:00.839, 2, 0, 954
2022/03/02 10:54:01.040, 2, 0, 1008
2022/03/02 10:54:01.241, 2, 0, 1070
2022/03/02 10:54:01.441, 3, 0, 1120
2022/03/02 10:54:01.642, 3, 0, 1166
2022/03/02 10:54:01.843, 3, 0, 1230
2022/03/02 10:54:02.043, 3, 0, 1352
2022/03/02 10:54:02.244, 3, 0, 1426
2022/03/02 10:54:02.445, 5, 0, 1560
2022/03/02 10:54:02.645, 5, 0, 1642
2022/03/02 10:54:02.846, 5, 0, 1920
2022/03/02 10:54:03.047, 5, 0, 1920
2022/03/02 10:54:03.247, 5, 0, 1920
2022/03/02 10:54:03.448, 5, 0, 2076
2022/03/02 10:54:03.649, 5, 0, 2076
2022/03/02 10:54:03.849, 5, 0, 2076
2022/03/02 10:54:04.050, 5, 0, 2076
2022/03/02 10:54:04.251, 5, 0, 2076
2022/03/02 10:54:04.452, 1, 0, 2076
2022/03/02 10:54:04.652, 1, 0, 2076
2022/03/02 10:54:04.853, 1, 0, 2076
2022/03/02 10:54:05.054, 1, 0, 2076
2022/03/02 10:54:05.255, 1, 0, 2076
2022/03/02 10:54:05.456, 0, 0, 2076
2022/03/02 10:54:05.657, 0, 0, 2076
2022/03/02 10:54:05.858, 0, 0, 3728
2022/03/02 10:54:06.059, 0, 0, 9188
2022/03/02 10:54:06.260, 0, 0, 9188
2022/03/02 10:54:06.460, 52, 13, 9188
2022/03/02 10:54:06.661, 52, 13, 9188
2022/03/02 10:54:06.862, 52, 13, 9188
2022/03/02 10:54:07.063, 52, 13, 9188
2022/03/02 10:54:07.263, 52, 13, 9188
2022/03/02 10:54:07.464, 40, 8, 9188
2022/03/02 10:54:07.665, 40, 8, 9188
2022/03/02 10:54:07.865, 40, 8, 26
2022/03/02 10:54:08.066, 40, 8, 26
2022/03/02 10:54:08.267, 40, 8, 26
2022/03/02 10:54:08.468, 18, 2, 26
2022/03/02 10:54:08.669, 18, 2, 26
2022/03/02 10:54:08.869, 18, 2, 48
2022/03/02 10:54:09.071, 18, 2, 502
2022/03/02 10:54:09.272, 18, 2, 642
2022/03/02 10:54:09.472, 5, 0, 782
2022/03/02 10:54:09.673, 5, 0, 922
2022/03/02 10:54:09.874, 5, 0, 1066
2022/03/02 10:54:10.074, 5, 0, 1220
2022/03/02 10:54:10.275, 5, 0, 1356
2022/03/02 10:54:10.476, 9, 0, 1472
2022/03/02 10:54:10.676, 9, 0, 1616
2022/03/02 10:54:10.877, 9, 0, 2076
2022/03/02 10:54:11.078, 9, 0, 2076
2022/03/02 10:54:11.279, 9, 0, 2076
2022/03/02 10:54:11.480, 6, 0, 2076
2022/03/02 10:54:11.680, 6, 0, 2076
2022/03/02 10:54:11.881, 6, 0, 2076
2022/03/02 10:54:12.082, 6, 0, 5664
2022/03/02 10:54:12.283, 6, 0, 9188
2022/03/02 10:54:12.484, 32, 9, 9188
2022/03/02 10:54:12.684, 32, 9, 9188
2022/03/02 10:54:12.885, 32, 9, 9188
2022/03/02 10:54:13.085, 32, 9, 4607
2022/03/02 10:54:13.286, 32, 9, 4607
2022/03/02 10:54:13.487, 79, 15, 26
2022/03/02 10:54:13.687, 79, 15, 36
2022/03/02 10:54:13.888, 79, 15, 259
2022/03/02 10:54:14.089, 79, 15, 556
2022/03/02 10:54:14.290, 79, 15, 700
2022/03/02 10:54:14.490, 5, 0, 828
2022/03/02 10:54:14.691, 5, 0, 984
2022/03/02 10:54:14.892, 5, 0, 1116
2022/03/02 10:54:15.092, 5, 0, 1258
2022/03/02 10:54:15.293, 5, 0, 1398
2022/03/02 10:54:15.494, 9, 0, 1538
2022/03/02 10:54:15.694, 9, 0, 1830
2022/03/02 10:54:15.895, 9, 0, 1894
2022/03/02 10:54:16.096, 9, 0, 2076
2022/03/02 10:54:16.296, 9, 0, 2076
2022/03/02 10:54:16.497, 6, 0, 2076
2022/03/02 10:54:16.698, 6, 0, 2076
2022/03/02 10:54:16.898, 6, 0, 2076
2022/03/02 10:54:17.099, 6, 0, 9188
2022/03/02 10:54:17.300, 6, 0, 9188
2022/03/02 10:54:17.501, 50, 13, 9188
2022/03/02 10:54:17.702, 50, 13, 9188
2022/03/02 10:54:17.902, 50, 13, 4607
2022/03/02 10:54:18.103, 50, 13, 4607
2022/03/02 10:54:18.304, 50, 13, 26
2022/03/02 10:54:18.504, 57, 11, 36
2022/03/02 10:54:18.705, 57, 11, 243
2022/03/02 10:54:18.905, 57, 11, 494
2022/03/02 10:54:19.106, 57, 11, 628
2022/03/02 10:54:19.307, 57, 11, 758
2022/03/02 10:54:19.507, 7, 0, 908
2022/03/02 10:54:19.708, 7, 0, 1058
2022/03/02 10:54:19.909, 7, 0, 1186
2022/03/02 10:54:20.109, 7, 0, 1340
2022/03/02 10:54:20.310, 7, 0, 1504
2022/03/02 10:54:20.511, 10, 0, 1734
2022/03/02 10:54:20.712, 10, 0, 1864
2022/03/02 10:54:20.913, 10, 0, 2076
2022/03/02 10:54:21.114, 10, 0, 2076
2022/03/02 10:54:21.314, 10, 0, 2076
2022/03/02 10:54:21.515, 4, 0, 2076
2022/03/02 10:54:21.716, 4, 0, 2076
2022/03/02 10:54:21.916, 4, 0, 9188
2022/03/02 10:54:22.117, 4, 0, 9188
2022/03/02 10:54:22.318, 4, 0, 9188
2022/03/02 10:54:22.523, 57, 13, 9188
2022/03/02 10:54:22.724, 57, 13, 9188
2022/03/02 10:54:22.925, 57, 13, 9188
2022/03/02 10:54:23.126, 57, 13, 4607
2022/03/02 10:54:23.327, 57, 13, 26
2022/03/02 10:54:23.527, 55, 10, 26
2022/03/02 10:54:23.728, 55, 10, 26
2022/03/02 10:54:23.929, 55, 10, 36
2022/03/02 10:54:24.140, 55, 10, 474
2022/03/02 10:54:24.341, 55, 10, 624
2022/03/02 10:54:24.542, 5, 0, 770
2022/03/02 10:54:24.742, 5, 0, 914
2022/03/02 10:54:24.943, 5, 0, 1032
2022/03/02 10:54:25.143, 5, 0, 1180
2022/03/02 10:54:25.344, 5, 0, 1328
2022/03/02 10:54:25.545, 9, 0, 1468
2022/03/02 10:54:25.745, 9, 0, 1594
2022/03/02 10:54:25.946, 9, 0, 1896
2022/03/02 10:54:26.147, 9, 0, 2076
2022/03/02 10:54:26.347, 9, 0, 2076
2022/03/02 10:54:26.548, 6, 0, 2076
2022/03/02 10:54:26.749, 6, 0, 2076
2022/03/02 10:54:26.949, 6, 0, 2076
2022/03/02 10:54:27.150, 6, 0, 5634
2022/03/02 10:54:27.351, 6, 0, 9188
2022/03/02 10:54:27.552, 35, 9, 9188
2022/03/02 10:54:27.753, 35, 9, 9188
2022/03/02 10:54:27.955, 35, 9, 9188
2022/03/02 10:54:28.156, 35, 9, 4607
2022/03/02 10:54:28.356, 35, 9, 4607
2022/03/02 10:54:28.557, 62, 14, 26
2022/03/02 10:54:28.758, 62, 14, 43
2022/03/02 10:54:28.958, 62, 14, 261
2022/03/02 10:54:29.159, 62, 14, 504
2022/03/02 10:54:29.359, 62, 14, 646
2022/03/02 10:54:29.560, 12, 1, 800
2022/03/02 10:54:29.761, 12, 1, 942
2022/03/02 10:54:29.961, 12, 1, 1106
2022/03/02 10:54:30.162, 12, 1, 1230
2022/03/02 10:54:30.363, 12, 1, 1380
2022/03/02 10:54:30.563, 9, 0, 1546
2022/03/02 10:54:30.764, 9, 0, 1802
2022/03/02 10:54:30.964, 9, 0, 1858
2022/03/02 10:54:31.165, 9, 0, 2076
2022/03/02 10:54:31.366, 9, 0, 2076
2022/03/02 10:54:31.566, 6, 0, 2076
2022/03/02 10:54:31.767, 6, 0, 2076
2022/03/02 10:54:31.968, 6, 0, 9188
2022/03/02 10:54:32.168, 6, 0, 9188
2022/03/02 10:54:32.369, 6, 0, 9188
2022/03/02 10:54:32.570, 58, 14, 9188
2022/03/02 10:54:32.771, 58, 14, 9188
2022/03/02 10:54:32.972, 58, 14, 4607
2022/03/02 10:54:33.173, 58, 14, 26
2022/03/02 10:54:33.412, 58, 14, 26
2022/03/02 10:54:33.613, 49, 10, 195
2022/03/02 10:54:33.814, 49, 10, 297
2022/03/02 10:54:34.014, 49, 10, 580
2022/03/02 10:54:34.215, 49, 10, 718
2022/03/02 10:54:34.416, 49, 10, 864
2022/03/02 10:54:34.616, 8, 0, 1008
2022/03/02 10:54:34.817, 8, 0, 1156
2022/03/02 10:54:35.018, 8, 0, 1290
2022/03/02 10:54:35.218, 8, 0, 1430
2022/03/02 10:54:35.419, 8, 0, 1566
2022/03/02 10:54:35.620, 10, 0, 1846
2022/03/02 10:54:35.820, 10, 0, 2076
2022/03/02 10:54:36.021, 10, 0, 2076
2022/03/02 10:54:36.222, 10, 0, 2076
2022/03/02 10:54:36.422, 10, 0, 2076
2022/03/02 10:54:36.623, 3, 0, 2076
2022/03/02 10:54:36.824, 3, 0, 2076
2022/03/02 10:54:37.024, 3, 0, 9188
2022/03/02 10:54:37.225, 3, 0, 9188
2022/03/02 10:54:37.426, 3, 0, 9188
