timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/02/27 10:47:39.119, 14, 0, 1639
2022/02/27 10:47:39.320, 14, 0, 1851
2022/02/27 10:47:39.520, 14, 0, 2065
2022/02/27 10:47:39.721, 14, 0, 2251
2022/02/27 10:47:39.921, 14, 0, 2453
2022/02/27 10:47:40.122, 14, 0, 2867
2022/02/27 10:47:40.323, 14, 0, 2867
2022/02/27 10:47:40.523, 14, 0, 3101
2022/02/27 10:47:40.724, 14, 0, 10687
2022/02/27 10:47:40.924, 25, 6, 10687
2022/02/27 10:47:41.137, 25, 6, 10687
2022/02/27 10:47:41.337, 25, 6, 10681
2022/02/27 10:47:41.538, 25, 6, 10681
2022/02/27 10:47:41.739, 25, 6, 6100
2022/02/27 10:47:41.939, 98, 21, 3523
2022/02/27 10:47:42.140, 98, 21, 26
2022/02/27 10:47:42.341, 98, 21, 26
2022/02/27 10:47:42.541, 98, 21, 185
2022/02/27 10:47:42.742, 98, 21, 484
2022/02/27 10:47:42.943, 11, 1, 813
2022/02/27 10:47:43.143, 11, 1, 1019
2022/02/27 10:47:43.344, 11, 1, 1237
2022/02/27 10:47:43.544, 11, 1, 1437
2022/02/27 10:47:43.745, 11, 1, 1631
2022/02/27 10:47:43.946, 14, 0, 1825
2022/02/27 10:47:44.147, 14, 0, 2045
2022/02/27 10:47:44.348, 14, 0, 2239
2022/02/27 10:47:44.548, 14, 0, 2431
2022/02/27 10:47:44.749, 14, 0, 2901
2022/02/27 10:47:44.949, 16, 0, 3101
2022/02/27 10:47:45.150, 16, 0, 10213
2022/02/27 10:47:45.352, 16, 0, 10247
2022/02/27 10:47:45.570, 16, 0, 10965
2022/02/27 10:47:45.774, 16, 0, 6384
2022/02/27 10:47:45.975, 93, 23, 6384
2022/02/27 10:47:46.175, 93, 23, 8982
2022/02/27 10:47:46.376, 93, 23, 4401
2022/02/27 10:47:46.577, 93, 23, 4574
2022/02/27 10:47:46.777, 93, 23, 273
2022/02/27 10:47:46.978, 56, 12, 339
2022/02/27 10:47:47.179, 56, 12, 588
2022/02/27 10:47:47.380, 56, 12, 714
2022/02/27 10:47:47.586, 56, 12, 1047
2022/02/27 10:47:47.787, 56, 12, 1257
2022/02/27 10:47:47.987, 11, 0, 1427
2022/02/27 10:47:48.188, 11, 0, 1627
2022/02/27 10:47:48.388, 11, 0, 1847
2022/02/27 10:47:48.589, 11, 0, 2045
2022/02/27 10:47:48.790, 11, 0, 2377
2022/02/27 10:47:49.001, 14, 0, 2493
2022/02/27 10:47:49.202, 14, 0, 6235
2022/02/27 10:47:49.402, 14, 0, 6421
2022/02/27 10:47:49.607, 14, 0, 7405
2022/02/27 10:47:49.807, 14, 0, 10213
2022/02/27 10:47:50.008, 85, 20, 5666
2022/02/27 10:47:50.209, 85, 20, 9188
2022/02/27 10:47:50.409, 85, 20, 4607
2022/02/27 10:47:50.611, 85, 20, 4607
2022/02/27 10:47:50.811, 85, 20, 215
2022/02/27 10:47:51.012, 67, 15, 275
2022/02/27 10:47:51.213, 67, 15, 530
2022/02/27 10:47:51.414, 67, 15, 664
2022/02/27 10:47:51.617, 67, 15, 969
2022/02/27 10:47:51.818, 67, 15, 1165
2022/02/27 10:47:52.018, 11, 0, 1363
2022/02/27 10:47:52.219, 11, 0, 1575
2022/02/27 10:47:52.419, 11, 0, 1765
2022/02/27 10:47:52.620, 11, 0, 1973
2022/02/27 10:47:52.821, 11, 0, 2149
2022/02/27 10:47:53.023, 15, 0, 2483
2022/02/27 10:47:53.224, 15, 0, 2777
2022/02/27 10:47:53.425, 15, 0, 6401
2022/02/27 10:47:53.626, 15, 0, 6475
2022/02/27 10:47:53.827, 15, 0, 10213
2022/02/27 10:47:54.027, 72, 17, 10215
2022/02/27 10:47:54.228, 72, 17, 5666
2022/02/27 10:47:54.429, 72, 17, 9188
2022/02/27 10:47:54.630, 72, 17, 4607
2022/02/27 10:47:54.831, 72, 17, 4648
2022/02/27 10:47:55.031, 73, 18, 251
2022/02/27 10:47:55.264, 73, 18, 323
2022/02/27 10:47:55.470, 73, 18, 608
2022/02/27 10:47:55.670, 73, 18, 738
2022/02/27 10:47:55.871, 73, 18, 1057
2022/02/27 10:47:56.072, 18, 1, 1219
2022/02/27 10:47:56.273, 18, 1, 1431
2022/02/27 10:47:56.474, 18, 1, 1627
2022/02/27 10:47:56.675, 18, 1, 1809
2022/02/27 10:47:56.875, 18, 1, 2023
2022/02/27 10:47:57.076, 13, 0, 2359
2022/02/27 10:47:57.277, 13, 0, 2497
2022/02/27 10:47:57.478, 13, 0, 6345
2022/02/27 10:47:57.679, 13, 0, 6425
2022/02/27 10:47:57.880, 13, 0, 6591
2022/02/27 10:47:58.080, 64, 14, 10213
2022/02/27 10:47:58.283, 64, 14, 5634
2022/02/27 10:47:58.483, 64, 14, 9188
2022/02/27 10:47:58.691, 64, 14, 4607
2022/02/27 10:47:58.892, 64, 14, 4617
2022/02/27 10:47:59.093, 83, 20, 4834
2022/02/27 10:47:59.294, 83, 20, 299
2022/02/27 10:47:59.494, 83, 20, 572
2022/02/27 10:47:59.695, 83, 20, 672
2022/02/27 10:47:59.896, 83, 20, 812
2022/02/27 10:48:00.097, 17, 1, 1149
2022/02/27 10:48:00.297, 17, 1, 1329
2022/02/27 10:48:00.498, 17, 1, 1535
2022/02/27 10:48:00.698, 17, 1, 1739
2022/02/27 10:48:00.899, 17, 1, 1949
2022/02/27 10:48:01.100, 14, 0, 2141
2022/02/27 10:48:01.300, 14, 0, 2463
2022/02/27 10:48:01.508, 14, 0, 5589
2022/02/27 10:48:01.709, 14, 0, 6381
2022/02/27 10:48:01.910, 14, 0, 6479
2022/02/27 10:48:02.115, 61, 13, 10213
2022/02/27 10:48:02.316, 61, 13, 5632
2022/02/27 10:48:02.516, 61, 13, 9188
2022/02/27 10:48:02.717, 61, 13, 9188
2022/02/27 10:48:02.918, 61, 13, 4607
2022/02/27 10:48:03.119, 87, 21, 4812
2022/02/27 10:48:03.320, 87, 21, 295
2022/02/27 10:48:03.520, 87, 21, 359
2022/02/27 10:48:03.721, 87, 21, 612
2022/02/27 10:48:03.922, 87, 21, 885
2022/02/27 10:48:04.122, 17, 1, 1105
2022/02/27 10:48:04.323, 17, 1, 1285
2022/02/27 10:48:04.524, 17, 1, 1495
2022/02/27 10:48:04.725, 17, 1, 1685
2022/02/27 10:48:04.926, 17, 1, 1869
2022/02/27 10:48:05.126, 13, 0, 2085
2022/02/27 10:48:05.327, 13, 0, 2413
2022/02/27 10:48:05.540, 13, 0, 2531
2022/02/27 10:48:05.741, 13, 0, 6323
2022/02/27 10:48:05.942, 13, 0, 6471
2022/02/27 10:48:06.147, 54, 10, 10213
2022/02/27 10:48:06.348, 54, 10, 5632
2022/02/27 10:48:06.584, 54, 10, 9188
2022/02/27 10:48:06.785, 54, 10, 9188
2022/02/27 10:48:06.986, 54, 10, 4607
2022/02/27 10:48:07.187, 94, 24, 4816
2022/02/27 10:48:07.387, 94, 24, 293
2022/02/27 10:48:07.589, 94, 24, 365
2022/02/27 10:48:07.789, 94, 24, 642
2022/02/27 10:48:07.990, 94, 24, 744
2022/02/27 10:48:08.191, 16, 1, 1027
2022/02/27 10:48:08.391, 16, 1, 1243
2022/02/27 10:48:08.592, 16, 1, 1441
2022/02/27 10:48:08.793, 16, 1, 1615
2022/02/27 10:48:08.993, 16, 1, 1821
2022/02/27 10:48:09.194, 14, 0, 2023
2022/02/27 10:48:09.395, 14, 0, 2359
2022/02/27 10:48:09.595, 14, 0, 2489
2022/02/27 10:48:09.796, 14, 0, 6327
2022/02/27 10:48:09.996, 14, 0, 6401
2022/02/27 10:48:10.197, 51, 10, 10035
2022/02/27 10:48:10.398, 51, 10, 10213
2022/02/27 10:48:10.599, 51, 10, 5632
2022/02/27 10:48:10.800, 51, 10, 9188
2022/02/27 10:48:11.004, 51, 10, 4607
2022/02/27 10:48:11.205, 95, 24, 4808
2022/02/27 10:48:11.406, 95, 24, 305
2022/02/27 10:48:11.639, 95, 24, 410
2022/02/27 10:48:11.839, 95, 24, 670
2022/02/27 10:48:12.040, 95, 24, 796
2022/02/27 10:48:12.241, 17, 1, 1119
