timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/21 16:23:37.894, 0, 0, 0
2022/05/21 16:23:38.096, 0, 0, 0
2022/05/21 16:23:38.297, 0, 0, 0
2022/05/21 16:23:38.498, 0, 0, 0
2022/05/21 16:23:38.699, 0, 0, 0
2022/05/21 16:23:38.900, 0, 0, 0
2022/05/21 16:23:39.101, 0, 0, 0
2022/05/21 16:23:39.302, 0, 0, 0
2022/05/21 16:23:39.505, 0, 0, 14
2022/05/21 16:23:39.707, 12, 0, 527
2022/05/21 16:23:39.908, 5, 0, 663
2022/05/21 16:23:40.109, 6, 0, 809
2022/05/21 16:23:40.310, 17, 0, 979
2022/05/21 16:23:40.511, 6, 0, 1099
2022/05/21 16:23:40.712, 4, 0, 1217
2022/05/21 16:23:40.914, 15, 0, 1802
2022/05/21 16:23:41.115, 29, 0, 2050
2022/05/21 16:23:41.316, 20, 0, 2320
2022/05/21 16:23:41.517, 23, 0, 2558
2022/05/21 16:23:41.718, 15, 0, 2812
2022/05/21 16:23:41.919, 5, 0, 2952
2022/05/21 16:23:42.120, 5, 0, 3178
2022/05/21 16:23:42.321, 7, 0, 3296
2022/05/21 16:23:42.522, 23, 0, 3718
2022/05/21 16:23:42.723, 38, 2, 7228
2022/05/21 16:23:42.925, 100, 4, 7270
2022/05/21 16:23:43.126, 100, 6, 7863
2022/05/21 16:23:43.335, 100, 5, 7975
2022/05/21 16:23:43.536, 28, 2, 8309
2022/05/21 16:23:43.737, 39, 1, 2898
2022/05/21 16:23:43.938, 83, 5, 6366
2022/05/21 16:23:44.139, 100, 7, 6418
2022/05/21 16:23:44.340, 100, 5, 6462
2022/05/21 16:23:44.541, 55, 3, 6540
2022/05/21 16:23:44.742, 10, 0, 1059
2022/05/21 16:23:44.943, 75, 2, 1566
2022/05/21 16:23:45.144, 16, 0, 1884
2022/05/21 16:23:45.345, 16, 0, 2156
2022/05/21 16:23:45.545, 16, 0, 2396
2022/05/21 16:23:45.746, 12, 0, 2622
2022/05/21 16:23:45.947, 12, 0, 2930
2022/05/21 16:23:46.148, 6, 0, 3138
2022/05/21 16:23:46.349, 10, 0, 3536
2022/05/21 16:23:46.561, 14, 0, 7072
2022/05/21 16:23:46.761, 100, 8, 7118
2022/05/21 16:23:47.011, 100, 4, 7287
2022/05/21 16:23:47.212, 98, 5, 7959
2022/05/21 16:23:47.413, 9, 0, 8087
2022/05/21 16:23:47.616, 40, 1, 2814
2022/05/21 16:23:47.817, 49, 1, 3072
2022/05/21 16:23:48.017, 60, 4, 6478
2022/05/21 16:23:48.219, 100, 6, 6536
2022/05/21 16:23:48.420, 100, 4, 6596
2022/05/21 16:23:48.621, 39, 3, 6702
2022/05/21 16:23:48.822, 10, 0, 1243
2022/05/21 16:23:49.024, 76, 3, 1824
2022/05/21 16:23:49.224, 24, 0, 2096
2022/05/21 16:23:49.425, 15, 0, 2336
2022/05/21 16:23:49.626, 14, 0, 2560
2022/05/21 16:23:49.827, 12, 0, 2914
2022/05/21 16:23:50.028, 7, 0, 3200
2022/05/21 16:23:50.229, 7, 0, 3424
2022/05/21 16:23:50.430, 12, 0, 4064
2022/05/21 16:23:50.631, 76, 5, 7054
2022/05/21 16:23:50.832, 100, 6, 7104
2022/05/21 16:23:51.034, 100, 4, 7205
