
Running N4 for 3-dimensional images.

Mask not read.  Creating Otsu mask.
Current level = 1
  Iteration 1 (of 50).   Current convergence value = 0.000607834 (threshold = 0)
  Iteration 2 (of 50).   Current convergence value = 0.000601994 (threshold = 0)
  Iteration 3 (of 50).   Current convergence value = 0.000596508 (threshold = 0)
  Iteration 4 (of 50).   Current convergence value = 0.000591356 (threshold = 0)
  Iteration 5 (of 50).   Current convergence value = 0.000585701 (threshold = 0)
  Iteration 6 (of 50).   Current convergence value = 0.000580055 (threshold = 0)
  Iteration 7 (of 50).   Current convergence value = 0.0005745 (threshold = 0)
  Iteration 8 (of 50).   Current convergence value = 0.000569004 (threshold = 0)
  Iteration 9 (of 50).   Current convergence value = 0.000563825 (threshold = 0)
  Iteration 10 (of 50).   Current convergence value = 0.000558817 (threshold = 0)
  Iteration 11 (of 50).   Current convergence value = 0.000553545 (threshold = 0)
  Iteration 12 (of 50).   Current convergence value = 0.000548306 (threshold = 0)
  Iteration 13 (of 50).   Current convergence value = 0.000543139 (threshold = 0)
  Iteration 14 (of 50).   Current convergence value = 0.000538058 (threshold = 0)
  Iteration 15 (of 50).   Current convergence value = 0.000533617 (threshold = 0)
  Iteration 16 (of 50).   Current convergence value = 0.000528352 (threshold = 0)
  Iteration 17 (of 50).   Current convergence value = 0.000523082 (threshold = 0)
  Iteration 18 (of 50).   Current convergence value = 0.000518152 (threshold = 0)
  Iteration 19 (of 50).   Current convergence value = 0.000513395 (threshold = 0)
  Iteration 20 (of 50).   Current convergence value = 0.000508394 (threshold = 0)
  Iteration 21 (of 50).   Current convergence value = 0.000503643 (threshold = 0)
  Iteration 22 (of 50).   Current convergence value = 0.000499136 (threshold = 0)
  Iteration 23 (of 50).   Current convergence value = 0.000494366 (threshold = 0)
  Iteration 24 (of 50).   Current convergence value = 0.000489403 (threshold = 0)
  Iteration 25 (of 50).   Current convergence value = 0.00048467 (threshold = 0)
  Iteration 26 (of 50).   Current convergence value = 0.00048004 (threshold = 0)
  Iteration 27 (of 50).   Current convergence value = 0.000475555 (threshold = 0)
  Iteration 28 (of 50).   Current convergence value = 0.000471151 (threshold = 0)
  Iteration 29 (of 50).   Current convergence value = 0.000466856 (threshold = 0)
  Iteration 30 (of 50).   Current convergence value = 0.000462302 (threshold = 0)
  Iteration 31 (of 50).   Current convergence value = 0.000458263 (threshold = 0)
  Iteration 32 (of 50).   Current convergence value = 0.000453191 (threshold = 0)
  Iteration 33 (of 50).   Current convergence value = 0.00044845 (threshold = 0)
  Iteration 34 (of 50).   Current convergence value = 0.00044403 (threshold = 0)
  Iteration 35 (of 50).   Current convergence value = 0.000439743 (threshold = 0)
