
Running N4 for 3-dimensional images.

Mask not read.  Creating Otsu mask.
Current level = 1
  Iteration 1 (of 50).   Current convergence value = 0.000619669 (threshold = 0)
  Iteration 2 (of 50).   Current convergence value = 0.000613316 (threshold = 0)
  Iteration 3 (of 50).   Current convergence value = 0.000606854 (threshold = 0)
  Iteration 4 (of 50).   Current convergence value = 0.000600212 (threshold = 0)
  Iteration 5 (of 50).   Current convergence value = 0.000593678 (threshold = 0)
  Iteration 6 (of 50).   Current convergence value = 0.000587044 (threshold = 0)
  Iteration 7 (of 50).   Current convergence value = 0.000580891 (threshold = 0)
  Iteration 8 (of 50).   Current convergence value = 0.000575365 (threshold = 0)
  Iteration 9 (of 50).   Current convergence value = 0.000569889 (threshold = 0)
  Iteration 10 (of 50).   Current convergence value = 0.000564373 (threshold = 0)
  Iteration 11 (of 50).   Current convergence value = 0.000558331 (threshold = 0)
  Iteration 12 (of 50).   Current convergence value = 0.000552465 (threshold = 0)
  Iteration 13 (of 50).   Current convergence value = 0.000546457 (threshold = 0)
  Iteration 14 (of 50).   Current convergence value = 0.000540823 (threshold = 0)
  Iteration 15 (of 50).   Current convergence value = 0.000534963 (threshold = 0)
  Iteration 16 (of 50).   Current convergence value = 0.000529674 (threshold = 0)
  Iteration 17 (of 50).   Current convergence value = 0.000524098 (threshold = 0)
  Iteration 18 (of 50).   Current convergence value = 0.000518911 (threshold = 0)
  Iteration 19 (of 50).   Current convergence value = 0.000513675 (threshold = 0)
  Iteration 20 (of 50).   Current convergence value = 0.000508195 (threshold = 0)
  Iteration 21 (of 50).   Current convergence value = 0.000503112 (threshold = 0)
  Iteration 22 (of 50).   Current convergence value = 0.000497783 (threshold = 0)
  Iteration 23 (of 50).   Current convergence value = 0.00049258 (threshold = 0)
  Iteration 24 (of 50).   Current convergence value = 0.00048796 (threshold = 0)
  Iteration 25 (of 50).   Current convergence value = 0.00048314 (threshold = 0)
  Iteration 26 (of 50).   Current convergence value = 0.000477764 (threshold = 0)
  Iteration 27 (of 50).   Current convergence value = 0.000472874 (threshold = 0)
  Iteration 28 (of 50).   Current convergence value = 0.000468099 (threshold = 0)
  Iteration 29 (of 50).   Current convergence value = 0.000463259 (threshold = 0)
  Iteration 30 (of 50).   Current convergence value = 0.000458755 (threshold = 0)
  Iteration 31 (of 50).   Current convergence value = 0.000453963 (threshold = 0)
  Iteration 32 (of 50).   Current convergence value = 0.000449459 (threshold = 0)
  Iteration 33 (of 50).   Current convergence value = 0.000444827 (threshold = 0)
  Iteration 34 (of 50).   Current convergence value = 0.000440602 (threshold = 0)
  Iteration 35 (of 50).   Current convergence value = 0.00043624 (threshold = 0)
  Iteration 36 (of 50).   Current convergence value = 0.000431708 (threshold = 0)
  Iteration 37 (of 50).   Current convergence value = 0.000427668 (threshold = 0)
  Iteration 38 (of 50).   Current convergence value = 0.00042335 (threshold = 0)
  Iteration 39 (of 50).   Current convergence value = 0.000418787 (threshold = 0)
  Iteration 40 (of 50).   Current convergence value = 0.000414617 (threshold = 0)
  Iteration 41 (of 50).   Current convergence value = 0.000410642 (threshold = 0)
  Iteration 42 (of 50).   Current convergence value = 0.000406913 (threshold = 0)
  Iteration 43 (of 50).   Current convergence value = 0.000402808 (threshold = 0)
  Iteration 44 (of 50).   Current convergence value = 0.000398402 (threshold = 0)
  Iteration 45 (of 50).   Current convergence value = 0.000394641 (threshold = 0)
  Iteration 46 (of 50).   Current convergence value = 0.000391091 (threshold = 0)
  Iteration 47 (of 50).   Current convergence value = 0.000387375 (threshold = 0)
  Iteration 48 (of 50).   Current convergence value = 0.000383376 (threshold = 0)
  Iteration 49 (of 50).   Current convergence value = 0.000379694 (threshold = 0)
  Iteration 50 (of 50).   Current convergence value = 0.000375931 (threshold = 0)
Current level = 2
  Iteration 1 (of 50).   Current convergence value = 0.00114861 (threshold = 0)
  Iteration 2 (of 50).   Current convergence value = 0.00111716 (threshold = 0)
  Iteration 3 (of 50).   Current convergence value = 0.00108687 (threshold = 0)
  Iteration 4 (of 50).   Current convergence value = 0.00105602 (threshold = 0)
  Iteration 5 (of 50).   Current convergence value = 0.00102608 (threshold = 0)
  Iteration 6 (of 50).   Current convergence value = 0.000997533 (threshold = 0)
  Iteration 7 (of 50).   Current convergence value = 0.000970239 (threshold = 0)
  Iteration 8 (of 50).   Current convergence value = 0.000942558 (threshold = 0)
  Iteration 9 (of 50).   Current convergence value = 0.000914653 (threshold = 0)
  Iteration 10 (of 50).   Current convergence value = 0.000886413 (threshold = 0)
  Iteration 11 (of 50).   Current convergence value = 0.000860409 (threshold = 0)
  Iteration 12 (of 50).   Current convergence value = 0.000834952 (threshold = 0)
  Iteration 13 (of 50).   Current convergence value = 0.000810951 (threshold = 0)
  Iteration 14 (of 50).   Current convergence value = 0.000788938 (threshold = 0)
