
Running N4 for 3-dimensional images.

Mask not read.  Creating Otsu mask.
Current level = 1
  Iteration 1 (of 50).   Current convergence value = 0.000898455 (threshold = 0)
  Iteration 2 (of 50).   Current convergence value = 0.000890572 (threshold = 0)
  Iteration 3 (of 50).   Current convergence value = 0.000882797 (threshold = 0)
  Iteration 4 (of 50).   Current convergence value = 0.000874589 (threshold = 0)
  Iteration 5 (of 50).   Current convergence value = 0.000866768 (threshold = 0)
  Iteration 6 (of 50).   Current convergence value = 0.000858756 (threshold = 0)
  Iteration 7 (of 50).   Current convergence value = 0.000850758 (threshold = 0)
  Iteration 8 (of 50).   Current convergence value = 0.000842816 (threshold = 0)
  Iteration 9 (of 50).   Current convergence value = 0.000834851 (threshold = 0)
  Iteration 10 (of 50).   Current convergence value = 0.00082664 (threshold = 0)
  Iteration 11 (of 50).   Current convergence value = 0.00081861 (threshold = 0)
  Iteration 12 (of 50).   Current convergence value = 0.000810548 (threshold = 0)
  Iteration 13 (of 50).   Current convergence value = 0.000802249 (threshold = 0)
  Iteration 14 (of 50).   Current convergence value = 0.000794353 (threshold = 0)
  Iteration 15 (of 50).   Current convergence value = 0.000786444 (threshold = 0)
  Iteration 16 (of 50).   Current convergence value = 0.000777852 (threshold = 0)
  Iteration 17 (of 50).   Current convergence value = 0.000769733 (threshold = 0)
  Iteration 18 (of 50).   Current convergence value = 0.000761861 (threshold = 0)
  Iteration 19 (of 50).   Current convergence value = 0.000753606 (threshold = 0)
  Iteration 20 (of 50).   Current convergence value = 0.000745724 (threshold = 0)
  Iteration 21 (of 50).   Current convergence value = 0.000737819 (threshold = 0)
  Iteration 22 (of 50).   Current convergence value = 0.000730099 (threshold = 0)
  Iteration 23 (of 50).   Current convergence value = 0.000721943 (threshold = 0)
  Iteration 24 (of 50).   Current convergence value = 0.000713935 (threshold = 0)
  Iteration 25 (of 50).   Current convergence value = 0.000705979 (threshold = 0)
  Iteration 26 (of 50).   Current convergence value = 0.000698101 (threshold = 0)
  Iteration 27 (of 50).   Current convergence value = 0.000690097 (threshold = 0)
  Iteration 28 (of 50).   Current convergence value = 0.000682212 (threshold = 0)
  Iteration 29 (of 50).   Current convergence value = 0.000674726 (threshold = 0)
  Iteration 30 (of 50).   Current convergence value = 0.000667205 (threshold = 0)
