timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/07 14:01:19.481, 0, 0, 0
2022/05/07 14:01:19.682, 0, 0, 20
2022/05/07 14:01:19.883, 0, 0, 250
2022/05/07 14:01:20.083, 0, 0, 334
2022/05/07 14:01:20.284, 3, 0, 410
2022/05/07 14:01:20.485, 3, 0, 494
2022/05/07 14:01:20.685, 3, 0, 576
2022/05/07 14:01:20.886, 3, 0, 658
2022/05/07 14:01:21.087, 3, 0, 748
2022/05/07 14:01:21.287, 5, 0, 812
2022/05/07 14:01:21.488, 5, 0, 890
2022/05/07 14:01:21.689, 5, 0, 968
2022/05/07 14:01:21.889, 5, 0, 1056
2022/05/07 14:01:22.090, 5, 0, 1132
2022/05/07 14:01:22.291, 5, 0, 1208
2022/05/07 14:01:22.491, 5, 0, 1326
2022/05/07 14:01:22.692, 5, 0, 1326
2022/05/07 14:01:22.893, 5, 0, 1404
2022/05/07 14:01:23.093, 5, 0, 1580
2022/05/07 14:01:23.294, 3, 0, 1672
2022/05/07 14:01:23.495, 3, 0, 5046
2022/05/07 14:01:23.695, 3, 0, 5046
2022/05/07 14:01:23.896, 3, 0, 5046
2022/05/07 14:01:24.097, 3, 0, 5046
2022/05/07 14:01:24.297, 56, 9, 5043
2022/05/07 14:01:24.498, 56, 9, 0
2022/05/07 14:01:24.699, 56, 9, 0
2022/05/07 14:01:24.899, 56, 9, 0
2022/05/07 14:01:25.100, 56, 9, 0
2022/05/07 14:01:25.301, 10, 1, 3
2022/05/07 14:01:25.502, 10, 1, 182
2022/05/07 14:01:25.702, 10, 1, 260
2022/05/07 14:01:25.903, 10, 1, 334
2022/05/07 14:01:26.103, 10, 1, 414
2022/05/07 14:01:26.304, 4, 0, 496
2022/05/07 14:01:26.505, 4, 0, 572
2022/05/07 14:01:26.705, 4, 0, 654
2022/05/07 14:01:26.906, 4, 0, 726
2022/05/07 14:01:27.106, 4, 0, 810
2022/05/07 14:01:27.307, 4, 0, 884
2022/05/07 14:01:27.508, 4, 0, 966
2022/05/07 14:01:27.709, 4, 0, 1064
2022/05/07 14:01:27.909, 4, 0, 1138
2022/05/07 14:01:28.110, 4, 0, 1218
2022/05/07 14:01:28.311, 5, 0, 1404
