timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/07 13:56:12.422, 0, 0, 0
2022/05/07 13:56:12.623, 0, 0, 0
2022/05/07 13:56:12.824, 0, 0, 0
2022/05/07 13:56:13.024, 0, 0, 0
2022/05/07 13:56:13.225, 0, 0, 0
2022/05/07 13:56:13.426, 0, 0, 0
2022/05/07 13:56:13.626, 0, 0, 0
2022/05/07 13:56:13.827, 0, 0, 0
2022/05/07 13:56:14.028, 0, 0, 0
2022/05/07 13:56:14.228, 0, 0, 0
2022/05/07 13:56:14.429, 0, 0, 0
2022/05/07 13:56:14.630, 0, 0, 0
2022/05/07 13:56:14.830, 0, 0, 0
2022/05/07 13:56:15.031, 0, 0, 0
2022/05/07 13:56:15.232, 0, 0, 0
2022/05/07 13:56:15.432, 0, 0, 0
2022/05/07 13:56:15.633, 0, 0, 0
2022/05/07 13:56:15.834, 0, 0, 0
2022/05/07 13:56:16.034, 0, 0, 0
2022/05/07 13:56:16.235, 0, 0, 0
2022/05/07 13:56:16.436, 0, 0, 0
2022/05/07 13:56:16.636, 0, 0, 0
2022/05/07 13:56:16.837, 0, 0, 0
2022/05/07 13:56:17.038, 0, 0, 0
2022/05/07 13:56:17.238, 0, 0, 0
2022/05/07 13:56:17.439, 0, 0, 0
2022/05/07 13:56:17.639, 0, 0, 0
2022/05/07 13:56:17.840, 0, 0, 0
2022/05/07 13:56:18.041, 0, 0, 0
2022/05/07 13:56:18.241, 0, 0, 0
2022/05/07 13:56:18.442, 0, 0, 0
2022/05/07 13:56:18.643, 0, 0, 0
2022/05/07 13:56:18.843, 0, 0, 0
2022/05/07 13:56:19.044, 0, 0, 0
2022/05/07 13:56:19.244, 0, 0, 0
2022/05/07 13:56:19.446, 0, 0, 0
2022/05/07 13:56:19.646, 0, 0, 0
2022/05/07 13:56:19.847, 0, 0, 0
2022/05/07 13:56:20.048, 0, 0, 0
2022/05/07 13:56:20.249, 0, 0, 0
2022/05/07 13:56:20.450, 0, 0, 0
2022/05/07 13:56:20.651, 0, 0, 0
2022/05/07 13:56:20.852, 0, 0, 3
2022/05/07 13:56:21.053, 0, 0, 13
2022/05/07 13:56:21.256, 1, 0, 158
2022/05/07 13:56:21.456, 1, 0, 192
2022/05/07 13:56:21.657, 1, 0, 194
2022/05/07 13:56:21.857, 1, 0, 204
2022/05/07 13:56:22.058, 1, 0, 206
2022/05/07 13:56:22.259, 1, 0, 216
2022/05/07 13:56:22.459, 1, 0, 216
2022/05/07 13:56:22.660, 1, 0, 226
2022/05/07 13:56:22.861, 1, 0, 230
2022/05/07 13:56:23.061, 1, 0, 248
2022/05/07 13:56:23.262, 1, 0, 256
2022/05/07 13:56:23.463, 1, 0, 258
2022/05/07 13:56:23.663, 1, 0, 264
2022/05/07 13:56:23.864, 1, 0, 270
2022/05/07 13:56:24.065, 1, 0, 280
2022/05/07 13:56:24.265, 0, 0, 284
2022/05/07 13:56:24.466, 0, 0, 284
2022/05/07 13:56:24.667, 0, 0, 284
2022/05/07 13:56:24.867, 0, 0, 334
2022/05/07 13:56:25.068, 0, 0, 340
2022/05/07 13:56:25.268, 1, 0, 356
2022/05/07 13:56:25.469, 1, 0, 358
2022/05/07 13:56:25.670, 1, 0, 366
2022/05/07 13:56:25.870, 1, 0, 370
2022/05/07 13:56:26.071, 1, 0, 376
2022/05/07 13:56:26.272, 0, 0, 378
2022/05/07 13:56:26.472, 0, 0, 388
2022/05/07 13:56:26.673, 0, 0, 392
2022/05/07 13:56:26.874, 0, 0, 394
2022/05/07 13:56:27.074, 0, 0, 404
2022/05/07 13:56:27.275, 0, 0, 418
2022/05/07 13:56:27.476, 0, 0, 422
2022/05/07 13:56:27.676, 0, 0, 438
2022/05/07 13:56:27.877, 0, 0, 444
2022/05/07 13:56:28.078, 0, 0, 450
2022/05/07 13:56:28.278, 0, 0, 462
2022/05/07 13:56:28.479, 0, 0, 476
2022/05/07 13:56:28.680, 0, 0, 480
2022/05/07 13:56:28.880, 0, 0, 488
2022/05/07 13:56:29.081, 0, 0, 504
2022/05/07 13:56:29.282, 1, 0, 508
2022/05/07 13:56:29.482, 1, 0, 514
2022/05/07 13:56:29.683, 1, 0, 518
2022/05/07 13:56:29.884, 1, 0, 524
2022/05/07 13:56:30.085, 1, 0, 532
2022/05/07 13:56:30.285, 0, 0, 540
2022/05/07 13:56:30.486, 0, 0, 544
2022/05/07 13:56:30.687, 0, 0, 548
2022/05/07 13:56:30.888, 0, 0, 556
2022/05/07 13:56:31.089, 0, 0, 560
2022/05/07 13:56:31.289, 0, 0, 570
2022/05/07 13:56:31.490, 0, 0, 572
2022/05/07 13:56:31.691, 0, 0, 578
2022/05/07 13:56:31.892, 0, 0, 592
2022/05/07 13:56:32.092, 0, 0, 602
2022/05/07 13:56:32.293, 0, 0, 608
2022/05/07 13:56:32.494, 0, 0, 622
2022/05/07 13:56:32.695, 0, 0, 628
2022/05/07 13:56:32.896, 0, 0, 636
2022/05/07 13:56:33.097, 0, 0, 640
2022/05/07 13:56:33.298, 0, 0, 642
2022/05/07 13:56:33.498, 0, 0, 658
2022/05/07 13:56:33.699, 0, 0, 664
2022/05/07 13:56:33.900, 0, 0, 674
2022/05/07 13:56:34.101, 0, 0, 680
2022/05/07 13:56:34.301, 0, 0, 692
2022/05/07 13:56:34.502, 0, 0, 692
2022/05/07 13:56:34.703, 0, 0, 720
2022/05/07 13:56:34.904, 0, 0, 728
2022/05/07 13:56:35.105, 0, 0, 732
2022/05/07 13:56:35.305, 1, 0, 738
2022/05/07 13:56:35.506, 1, 0, 746
2022/05/07 13:56:35.707, 1, 0, 754
2022/05/07 13:56:35.908, 1, 0, 768
2022/05/07 13:56:36.109, 1, 0, 772
2022/05/07 13:56:36.309, 0, 0, 788
2022/05/07 13:56:36.510, 0, 0, 794
2022/05/07 13:56:36.711, 0, 0, 802
2022/05/07 13:56:36.912, 0, 0, 806
2022/05/07 13:56:37.113, 0, 0, 814
2022/05/07 13:56:37.313, 0, 0, 826
2022/05/07 13:56:37.514, 0, 0, 830
2022/05/07 13:56:37.715, 0, 0, 842
2022/05/07 13:56:37.916, 0, 0, 864
2022/05/07 13:56:38.117, 0, 0, 868
2022/05/07 13:56:38.317, 1, 0, 874
2022/05/07 13:56:38.518, 1, 0, 888
2022/05/07 13:56:38.719, 1, 0, 894
2022/05/07 13:56:38.920, 1, 0, 902
2022/05/07 13:56:39.121, 1, 0, 908
2022/05/07 13:56:39.321, 0, 0, 920
2022/05/07 13:56:39.522, 0, 0, 930
2022/05/07 13:56:39.723, 0, 0, 936
2022/05/07 13:56:39.923, 0, 0, 948
2022/05/07 13:56:40.124, 0, 0, 958
2022/05/07 13:56:40.325, 1, 0, 962
2022/05/07 13:56:40.526, 1, 0, 968
2022/05/07 13:56:40.727, 1, 0, 978
2022/05/07 13:56:40.927, 1, 0, 986
2022/05/07 13:56:41.128, 1, 0, 988
2022/05/07 13:56:41.329, 0, 0, 1006
2022/05/07 13:56:41.530, 0, 0, 1016
2022/05/07 13:56:41.731, 0, 0, 1018
2022/05/07 13:56:41.932, 0, 0, 1036
2022/05/07 13:56:42.132, 0, 0, 1050
2022/05/07 13:56:42.333, 1, 0, 1054
2022/05/07 13:56:42.534, 1, 0, 1064
2022/05/07 13:56:42.735, 1, 0, 1070
2022/05/07 13:56:42.935, 1, 0, 1080
2022/05/07 13:56:43.136, 1, 0, 1086
2022/05/07 13:56:43.337, 0, 0, 1088
2022/05/07 13:56:43.538, 0, 0, 1092
2022/05/07 13:56:43.739, 0, 0, 1114
2022/05/07 13:56:43.940, 0, 0, 1122
2022/05/07 13:56:44.140, 0, 0, 1136
2022/05/07 13:56:44.341, 1, 0, 1144
2022/05/07 13:56:44.542, 1, 0, 1160
2022/05/07 13:56:44.743, 1, 0, 1170
2022/05/07 13:56:44.944, 1, 0, 1174
2022/05/07 13:56:45.144, 1, 0, 1182
2022/05/07 13:56:45.345, 0, 0, 1186
2022/05/07 13:56:45.546, 0, 0, 1194
2022/05/07 13:56:45.747, 0, 0, 1200
2022/05/07 13:56:45.948, 0, 0, 1206
2022/05/07 13:56:46.149, 0, 0, 1216
2022/05/07 13:56:46.349, 1, 0, 1224
2022/05/07 13:56:46.550, 1, 0, 1326
2022/05/07 13:56:46.751, 1, 0, 1326
2022/05/07 13:56:46.952, 1, 0, 1404
2022/05/07 13:56:47.153, 1, 0, 1404
2022/05/07 13:56:47.353, 1, 0, 1404
2022/05/07 13:56:47.554, 1, 0, 1404
2022/05/07 13:56:47.755, 1, 0, 1404
2022/05/07 13:56:47.955, 1, 0, 1404
2022/05/07 13:56:48.156, 1, 0, 1404
2022/05/07 13:56:48.357, 1, 0, 1404
2022/05/07 13:56:48.558, 1, 0, 1570
2022/05/07 13:56:48.759, 1, 0, 1582
2022/05/07 13:56:48.959, 1, 0, 1606
2022/05/07 13:56:49.160, 1, 0, 1622
2022/05/07 13:56:49.361, 1, 0, 1646
2022/05/07 13:56:49.562, 1, 0, 1666
2022/05/07 13:56:49.763, 1, 0, 1676
2022/05/07 13:56:49.963, 1, 0, 1816
2022/05/07 13:56:50.164, 1, 0, 5046
2022/05/07 13:56:50.365, 21, 5, 5046
2022/05/07 13:56:50.565, 21, 5, 5046
2022/05/07 13:56:50.766, 21, 5, 5046
