timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/01 13:56:10.197, 0, 0, 0
2022/05/01 13:56:10.400, 0, 0, 0
2022/05/01 13:56:10.600, 0, 0, 0
2022/05/01 13:56:10.801, 0, 0, 0
2022/05/01 13:56:11.001, 1, 0, 0
2022/05/01 13:56:11.202, 1, 0, 0
2022/05/01 13:56:11.403, 1, 0, 0
2022/05/01 13:56:11.603, 1, 0, 23
2022/05/01 13:56:11.807, 1, 0, 481
2022/05/01 13:56:12.007, 4, 0, 621
2022/05/01 13:56:12.208, 4, 0, 785
2022/05/01 13:56:12.408, 4, 0, 943
2022/05/01 13:56:12.609, 4, 0, 1097
2022/05/01 13:56:12.810, 4, 0, 1257
2022/05/01 13:56:13.010, 11, 0, 1415
2022/05/01 13:56:13.211, 11, 0, 1591
2022/05/01 13:56:13.412, 11, 0, 1743
2022/05/01 13:56:13.612, 11, 0, 1909
2022/05/01 13:56:13.813, 11, 0, 2081
2022/05/01 13:56:14.014, 11, 0, 2217
2022/05/01 13:56:14.214, 11, 0, 2379
2022/05/01 13:56:14.415, 11, 0, 2649
2022/05/01 13:56:14.615, 11, 0, 2649
2022/05/01 13:56:14.816, 11, 0, 2805
2022/05/01 13:56:15.017, 8, 0, 3201
2022/05/01 13:56:15.217, 8, 0, 10089
2022/05/01 13:56:15.418, 8, 0, 10089
2022/05/01 13:56:15.621, 8, 0, 10089
2022/05/01 13:56:15.822, 8, 0, 10089
2022/05/01 13:56:16.032, 78, 16, 10089
2022/05/01 13:56:16.232, 78, 16, 10089
2022/05/01 13:56:16.433, 78, 16, 10089
2022/05/01 13:56:16.633, 78, 16, 10089
2022/05/01 13:56:16.834, 78, 16, 0
2022/05/01 13:56:17.037, 61, 11, 0
2022/05/01 13:56:17.237, 61, 11, 0
2022/05/01 13:56:17.438, 61, 11, 0
2022/05/01 13:56:17.639, 61, 11, 0
2022/05/01 13:56:17.839, 61, 11, 0
2022/05/01 13:56:18.040, 0, 0, 0
2022/05/01 13:56:18.241, 0, 0, 0
2022/05/01 13:56:18.441, 0, 0, 0
2022/05/01 13:56:18.642, 0, 0, 0
2022/05/01 13:56:18.843, 0, 0, 0
2022/05/01 13:56:19.043, 0, 0, 0
2022/05/01 13:56:19.244, 0, 0, 23
2022/05/01 13:56:19.461, 0, 0, 399
2022/05/01 13:56:19.661, 0, 0, 557
2022/05/01 13:56:19.862, 0, 0, 711
2022/05/01 13:56:20.063, 9, 0, 867
2022/05/01 13:56:20.263, 9, 0, 1039
2022/05/01 13:56:20.464, 9, 0, 1183
2022/05/01 13:56:20.664, 9, 0, 1353
2022/05/01 13:56:20.865, 9, 0, 1533
2022/05/01 13:56:21.066, 12, 0, 1699
2022/05/01 13:56:21.266, 12, 0, 1865
2022/05/01 13:56:21.467, 12, 0, 2003
2022/05/01 13:56:21.667, 12, 0, 2165
2022/05/01 13:56:21.868, 12, 0, 2335
2022/05/01 13:56:22.069, 11, 0, 2627
2022/05/01 13:56:22.269, 11, 0, 2805
2022/05/01 13:56:22.470, 11, 0, 3209
2022/05/01 13:56:22.671, 11, 0, 6703
2022/05/01 13:56:22.871, 11, 0, 10089
2022/05/01 13:56:23.072, 46, 10, 10089
2022/05/01 13:56:23.272, 46, 10, 10089
2022/05/01 13:56:23.478, 46, 10, 10089
2022/05/01 13:56:23.678, 46, 10, 10089
2022/05/01 13:56:23.879, 46, 10, 10089
2022/05/01 13:56:24.080, 76, 15, 5046
2022/05/01 13:56:24.280, 76, 15, 0
2022/05/01 13:56:24.481, 76, 15, 0
2022/05/01 13:56:24.682, 76, 15, 0
2022/05/01 13:56:24.882, 76, 15, 0
2022/05/01 13:56:25.083, 17, 2, 0
2022/05/01 13:56:25.284, 17, 2, 13
2022/05/01 13:56:25.485, 17, 2, 423
2022/05/01 13:56:25.685, 17, 2, 587
2022/05/01 13:56:25.886, 17, 2, 739
2022/05/01 13:56:26.087, 7, 0, 891
2022/05/01 13:56:26.287, 7, 0, 1045
2022/05/01 13:56:26.488, 7, 0, 1207
2022/05/01 13:56:26.688, 7, 0, 1359
2022/05/01 13:56:26.889, 7, 0, 1531
2022/05/01 13:56:27.090, 12, 0, 1691
2022/05/01 13:56:27.290, 12, 0, 1853
2022/05/01 13:56:27.491, 12, 0, 2013
2022/05/01 13:56:27.692, 12, 0, 2167
2022/05/01 13:56:27.892, 12, 0, 2329
2022/05/01 13:56:28.093, 11, 0, 2649
2022/05/01 13:56:28.293, 11, 0, 2805
2022/05/01 13:56:28.494, 11, 0, 3193
2022/05/01 13:56:28.695, 11, 0, 7407
2022/05/01 13:56:28.895, 11, 0, 10089
2022/05/01 13:56:29.097, 42, 11, 10089
2022/05/01 13:56:29.305, 42, 11, 10089
2022/05/01 13:56:29.506, 42, 11, 10089
2022/05/01 13:56:29.708, 42, 11, 10089
2022/05/01 13:56:29.908, 42, 11, 10089
2022/05/01 13:56:30.109, 79, 14, 10089
2022/05/01 13:56:30.310, 79, 14, 0
2022/05/01 13:56:30.510, 79, 14, 0
2022/05/01 13:56:30.711, 79, 14, 0
2022/05/01 13:56:30.912, 79, 14, 0
2022/05/01 13:56:31.112, 20, 2, 0
2022/05/01 13:56:31.313, 20, 2, 23
2022/05/01 13:56:31.519, 20, 2, 403
2022/05/01 13:56:31.720, 20, 2, 563
2022/05/01 13:56:31.920, 20, 2, 719
2022/05/01 13:56:32.121, 8, 0, 877
2022/05/01 13:56:32.321, 8, 0, 1033
2022/05/01 13:56:32.522, 8, 0, 1203
2022/05/01 13:56:32.723, 8, 0, 1361
2022/05/01 13:56:32.924, 8, 0, 1531
2022/05/01 13:56:33.124, 11, 0, 1671
2022/05/01 13:56:33.325, 11, 0, 1821
2022/05/01 13:56:33.526, 11, 0, 1989
2022/05/01 13:56:33.726, 11, 0, 2143
2022/05/01 13:56:33.927, 11, 0, 2319
2022/05/01 13:56:34.127, 11, 0, 2621
2022/05/01 13:56:34.328, 11, 0, 2805
2022/05/01 13:56:34.529, 11, 0, 3189
2022/05/01 13:56:34.729, 11, 0, 6691
2022/05/01 13:56:34.930, 11, 0, 10089
2022/05/01 13:56:35.131, 45, 10, 10089
2022/05/01 13:56:35.334, 45, 10, 10089
2022/05/01 13:56:35.534, 45, 10, 10089
2022/05/01 13:56:35.735, 45, 10, 10089
2022/05/01 13:56:35.936, 45, 10, 10089
2022/05/01 13:56:36.136, 79, 15, 5046
2022/05/01 13:56:36.337, 79, 15, 0
2022/05/01 13:56:36.538, 79, 15, 0
2022/05/01 13:56:36.738, 79, 15, 0
2022/05/01 13:56:36.939, 79, 15, 0
2022/05/01 13:56:37.139, 16, 2, 0
2022/05/01 13:56:37.340, 16, 2, 23
2022/05/01 13:56:37.542, 16, 2, 407
2022/05/01 13:56:37.743, 16, 2, 567
2022/05/01 13:56:37.943, 16, 2, 719
2022/05/01 13:56:38.144, 8, 0, 871
2022/05/01 13:56:38.345, 8, 0, 1033
2022/05/01 13:56:38.555, 8, 0, 1169
2022/05/01 13:56:38.755, 8, 0, 1333
2022/05/01 13:56:38.956, 8, 0, 1499
2022/05/01 13:56:39.156, 11, 0, 1659
2022/05/01 13:56:39.357, 11, 0, 1811
2022/05/01 13:56:39.558, 11, 0, 1993
2022/05/01 13:56:39.758, 11, 0, 2163
2022/05/01 13:56:39.959, 11, 0, 2329
2022/05/01 13:56:40.160, 13, 0, 2627
2022/05/01 13:56:40.360, 13, 0, 2805
2022/05/01 13:56:40.561, 13, 0, 3193
2022/05/01 13:56:40.761, 13, 0, 6703
2022/05/01 13:56:40.962, 13, 0, 10089
2022/05/01 13:56:41.163, 46, 10, 10089
2022/05/01 13:56:41.373, 46, 10, 10089
2022/05/01 13:56:41.573, 46, 10, 10089
