timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/07 12:33:57.980, 0, 0, 0
2022/05/07 12:33:58.182, 0, 0, 0
2022/05/07 12:33:58.383, 0, 0, 0
2022/05/07 12:33:58.584, 0, 0, 0
2022/05/07 12:33:58.785, 0, 0, 0
2022/05/07 12:33:58.986, 0, 0, 0
2022/05/07 12:33:59.187, 0, 0, 0
2022/05/07 12:33:59.388, 0, 0, 0
2022/05/07 12:33:59.590, 0, 0, 0
2022/05/07 12:33:59.791, 0, 0, 0
2022/05/07 12:33:59.992, 0, 0, 0
2022/05/07 12:34:00.193, 0, 0, 0
2022/05/07 12:34:00.394, 0, 0, 0
2022/05/07 12:34:00.595, 0, 0, 0
2022/05/07 12:34:00.797, 0, 0, 0
2022/05/07 12:34:00.998, 0, 0, 0
2022/05/07 12:34:01.199, 0, 0, 0
2022/05/07 12:34:01.400, 0, 0, 0
2022/05/07 12:34:01.601, 0, 0, 0
2022/05/07 12:34:01.802, 0, 0, 0
2022/05/07 12:34:02.004, 0, 0, 0
2022/05/07 12:34:02.205, 0, 0, 0
2022/05/07 12:34:02.407, 0, 0, 0
2022/05/07 12:34:02.608, 0, 0, 0
2022/05/07 12:34:02.810, 0, 0, 0
2022/05/07 12:34:03.011, 0, 0, 0
2022/05/07 12:34:03.212, 0, 0, 0
2022/05/07 12:34:03.413, 0, 0, 0
2022/05/07 12:34:03.615, 0, 0, 0
2022/05/07 12:34:03.817, 0, 0, 0
2022/05/07 12:34:04.018, 0, 0, 0
2022/05/07 12:34:04.220, 0, 0, 0
2022/05/07 12:34:04.421, 0, 0, 0
2022/05/07 12:34:04.623, 0, 0, 0
2022/05/07 12:34:04.824, 0, 0, 0
2022/05/07 12:34:05.026, 0, 0, 0
2022/05/07 12:34:05.227, 0, 0, 0
2022/05/07 12:34:05.429, 0, 0, 0
2022/05/07 12:34:05.631, 0, 0, 0
2022/05/07 12:34:05.832, 0, 0, 0
2022/05/07 12:34:06.034, 0, 0, 0
2022/05/07 12:34:06.235, 0, 0, 0
2022/05/07 12:34:06.437, 0, 0, 0
2022/05/07 12:34:06.638, 0, 0, 0
2022/05/07 12:34:06.840, 0, 0, 0
2022/05/07 12:34:07.042, 0, 0, 0
2022/05/07 12:34:07.243, 0, 0, 0
2022/05/07 12:34:07.445, 0, 0, 0
2022/05/07 12:34:07.646, 0, 0, 0
2022/05/07 12:34:07.848, 0, 0, 0
2022/05/07 12:34:08.049, 0, 0, 0
2022/05/07 12:34:08.250, 0, 0, 0
2022/05/07 12:34:08.451, 0, 0, 0
2022/05/07 12:34:08.653, 0, 0, 0
2022/05/07 12:34:08.854, 0, 0, 0
2022/05/07 12:34:09.055, 0, 0, 0
2022/05/07 12:34:09.256, 0, 0, 0
2022/05/07 12:34:09.457, 0, 0, 0
2022/05/07 12:34:09.659, 0, 0, 0
2022/05/07 12:34:09.860, 0, 0, 0
2022/05/07 12:34:10.061, 0, 0, 0
2022/05/07 12:34:10.262, 0, 0, 0
2022/05/07 12:34:10.463, 0, 0, 0
2022/05/07 12:34:10.665, 0, 0, 0
2022/05/07 12:34:10.866, 0, 0, 0
2022/05/07 12:34:11.067, 0, 0, 0
2022/05/07 12:34:11.268, 0, 0, 0
2022/05/07 12:34:11.469, 0, 0, 0
2022/05/07 12:34:11.671, 0, 0, 0
2022/05/07 12:34:11.872, 0, 0, 0
2022/05/07 12:34:12.073, 0, 0, 0
2022/05/07 12:34:12.274, 0, 0, 0
2022/05/07 12:34:12.475, 0, 0, 0
2022/05/07 12:34:12.677, 0, 0, 0
2022/05/07 12:34:12.878, 0, 0, 0
2022/05/07 12:34:13.079, 0, 0, 0
2022/05/07 12:34:13.280, 0, 0, 0
2022/05/07 12:34:13.481, 0, 0, 0
2022/05/07 12:34:13.682, 0, 0, 0
2022/05/07 12:34:13.884, 0, 0, 0
2022/05/07 12:34:14.085, 0, 0, 0
2022/05/07 12:34:14.286, 0, 0, 0
2022/05/07 12:34:14.487, 0, 0, 0
2022/05/07 12:34:14.689, 0, 0, 0
2022/05/07 12:34:14.890, 0, 0, 0
2022/05/07 12:34:15.091, 0, 0, 0
2022/05/07 12:34:15.294, 0, 0, 0
2022/05/07 12:34:15.510, 0, 0, 0
2022/05/07 12:34:15.736, 0, 0, 2
2022/05/07 12:34:15.942, 0, 0, 2
2022/05/07 12:34:16.144, 0, 0, 86
2022/05/07 12:34:16.352, 0, 0, 122
2022/05/07 12:34:16.560, 0, 0, 122
2022/05/07 12:34:16.770, 0, 0, 122
2022/05/07 12:34:16.977, 0, 0, 122
2022/05/07 12:34:17.184, 0, 0, 142
2022/05/07 12:34:17.390, 30, 0, 4206
2022/05/07 12:34:17.591, 38, 1, 4604
2022/05/07 12:34:17.792, 21, 1, 4698
2022/05/07 12:34:17.994, 7, 0, 4812
2022/05/07 12:34:18.195, 4, 0, 4832
2022/05/07 12:34:18.396, 7, 0, 4952
2022/05/07 12:34:18.597, 3, 0, 4994
2022/05/07 12:34:18.798, 3, 0, 5024
2022/05/07 12:34:18.999, 3, 0, 5052
2022/05/07 12:34:19.200, 3, 0, 5172
2022/05/07 12:34:19.401, 11, 0, 5220
2022/05/07 12:34:19.603, 7, 0, 5316
2022/05/07 12:34:19.804, 11, 0, 5354
2022/05/07 12:34:20.006, 4, 0, 5396
2022/05/07 12:34:20.207, 5, 0, 5486
2022/05/07 12:34:20.408, 8, 0, 5520
2022/05/07 12:34:20.610, 4, 0, 5570
2022/05/07 12:34:20.811, 6, 0, 5622
2022/05/07 12:34:21.013, 10, 0, 5682
2022/05/07 12:34:21.214, 6, 0, 5756
2022/05/07 12:34:21.416, 10, 0, 5804
2022/05/07 12:34:21.617, 7, 0, 5894
2022/05/07 12:34:21.819, 7, 0, 6044
2022/05/07 12:34:22.020, 15, 0, 6120
2022/05/07 12:34:22.221, 6, 0, 6186
2022/05/07 12:34:22.422, 7, 0, 6316
2022/05/07 12:34:22.639, 23, 0, 6488
2022/05/07 12:34:22.847, 23, 0, 6662
2022/05/07 12:34:23.057, 16, 0, 7300
2022/05/07 12:34:23.258, 37, 0, 8042
2022/05/07 12:34:23.459, 21, 0, 8448
2022/05/07 12:34:23.676, 44, 1, 8956
2022/05/07 12:34:23.880, 38, 0, 9362
2022/05/07 12:34:24.083, 39, 0, 9805
2022/05/07 12:34:24.289, 50, 0, 11534
2022/05/07 12:34:24.490, 92, 1, 12474
2022/05/07 12:34:24.691, 86, 1, 13408
2022/05/07 12:34:24.892, 90, 1, 14400
2022/05/07 12:34:25.094, 94, 1, 15416
2022/05/07 12:34:25.295, 90, 1, 16404
2022/05/07 12:34:25.496, 89, 1, 17278
2022/05/07 12:34:25.697, 93, 1, 18340
2022/05/07 12:34:25.898, 96, 2, 19266
2022/05/07 12:34:26.099, 98, 1, 20246
2022/05/07 12:34:26.300, 94, 1, 21142
2022/05/07 12:34:26.501, 94, 1, 22208
2022/05/07 12:34:26.702, 97, 1, 23504
2022/05/07 12:34:26.903, 95, 1, 24166
2022/05/07 12:34:27.104, 33, 0, 24756
2022/05/07 12:34:27.305, 36, 0, 25884
2022/05/07 12:34:27.513, 9, 0, 26126
2022/05/07 12:34:27.716, 3, 0, 26138
2022/05/07 12:34:27.926, 15, 0, 26199
2022/05/07 12:34:28.135, 29, 0, 27290
2022/05/07 12:34:28.337, 18, 0, 27516
