timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/01 13:45:05.606, 0, 0, 0
2022/05/01 13:45:05.807, 0, 0, 0
2022/05/01 13:45:06.007, 0, 0, 0
2022/05/01 13:45:06.208, 0, 0, 0
2022/05/01 13:45:06.409, 1, 0, 0
2022/05/01 13:45:06.609, 1, 0, 0
2022/05/01 13:45:06.810, 1, 0, 0
2022/05/01 13:45:07.011, 1, 0, 13
2022/05/01 13:45:07.211, 1, 0, 224
2022/05/01 13:45:07.412, 2, 0, 306
2022/05/01 13:45:07.613, 2, 0, 390
2022/05/01 13:45:07.813, 2, 0, 470
2022/05/01 13:45:08.014, 2, 0, 556
2022/05/01 13:45:08.215, 2, 0, 632
2022/05/01 13:45:08.415, 5, 0, 730
2022/05/01 13:45:08.616, 5, 0, 810
2022/05/01 13:45:08.816, 5, 0, 882
2022/05/01 13:45:09.017, 5, 0, 962
2022/05/01 13:45:09.218, 5, 0, 1044
2022/05/01 13:45:09.418, 4, 0, 1134
2022/05/01 13:45:09.619, 4, 0, 1210
2022/05/01 13:45:09.820, 4, 0, 1326
2022/05/01 13:45:10.020, 4, 0, 1326
2022/05/01 13:45:10.221, 4, 0, 1404
2022/05/01 13:45:10.422, 3, 0, 1596
2022/05/01 13:45:10.622, 3, 0, 5046
2022/05/01 13:45:10.823, 3, 0, 5046
2022/05/01 13:45:11.024, 3, 0, 5046
2022/05/01 13:45:11.225, 3, 0, 5046
2022/05/01 13:45:11.426, 54, 9, 5046
2022/05/01 13:45:11.627, 54, 9, 0
2022/05/01 13:45:11.827, 54, 9, 0
2022/05/01 13:45:12.028, 54, 9, 0
2022/05/01 13:45:12.229, 54, 9, 0
2022/05/01 13:45:12.429, 10, 1, 0
2022/05/01 13:45:12.630, 10, 1, 162
2022/05/01 13:45:12.830, 10, 1, 268
2022/05/01 13:45:13.031, 10, 1, 348
2022/05/01 13:45:13.232, 10, 1, 426
2022/05/01 13:45:13.439, 4, 0, 504
2022/05/01 13:45:13.640, 4, 0, 586
2022/05/01 13:45:13.840, 4, 0, 664
2022/05/01 13:45:14.041, 4, 0, 752
2022/05/01 13:45:14.242, 4, 0, 816
2022/05/01 13:45:14.442, 5, 0, 902
2022/05/01 13:45:14.643, 5, 0, 982
2022/05/01 13:45:14.843, 5, 0, 1058
2022/05/01 13:45:15.044, 5, 0, 1138
2022/05/01 13:45:15.245, 5, 0, 1210
2022/05/01 13:45:15.445, 5, 0, 1404
2022/05/01 13:45:15.646, 5, 0, 1570
2022/05/01 13:45:15.847, 5, 0, 1660
2022/05/01 13:45:16.047, 5, 0, 5046
2022/05/01 13:45:16.248, 5, 0, 5046
2022/05/01 13:45:16.450, 52, 8, 5046
2022/05/01 13:45:16.650, 52, 8, 5046
2022/05/01 13:45:16.851, 52, 8, 5046
2022/05/01 13:45:17.051, 52, 8, 0
2022/05/01 13:45:17.252, 52, 8, 0
2022/05/01 13:45:17.453, 14, 2, 0
2022/05/01 13:45:17.654, 14, 2, 0
2022/05/01 13:45:17.854, 14, 2, 0
2022/05/01 13:45:18.055, 14, 2, 0
2022/05/01 13:45:18.255, 14, 2, 0
2022/05/01 13:45:18.456, 0, 0, 0
2022/05/01 13:45:18.657, 0, 0, 154
2022/05/01 13:45:18.858, 0, 0, 258
2022/05/01 13:45:19.059, 0, 0, 338
2022/05/01 13:45:19.260, 0, 0, 418
2022/05/01 13:45:19.460, 4, 0, 498
2022/05/01 13:45:19.661, 4, 0, 574
2022/05/01 13:45:19.862, 4, 0, 640
2022/05/01 13:45:20.062, 4, 0, 716
2022/05/01 13:45:20.263, 4, 0, 800
2022/05/01 13:45:20.463, 4, 0, 880
2022/05/01 13:45:20.664, 4, 0, 966
2022/05/01 13:45:20.865, 4, 0, 1046
2022/05/01 13:45:21.065, 4, 0, 1146
2022/05/01 13:45:21.266, 4, 0, 1224
2022/05/01 13:45:21.467, 6, 0, 1404
2022/05/01 13:45:21.667, 6, 0, 1588
2022/05/01 13:45:21.868, 6, 0, 1674
2022/05/01 13:45:22.068, 6, 0, 5046
2022/05/01 13:45:22.269, 6, 0, 5046
2022/05/01 13:45:22.472, 55, 9, 5046
2022/05/01 13:45:22.672, 55, 9, 5046
2022/05/01 13:45:22.873, 55, 9, 0
2022/05/01 13:45:23.073, 55, 9, 0
2022/05/01 13:45:23.274, 55, 9, 0
2022/05/01 13:45:23.475, 11, 1, 0
2022/05/01 13:45:23.675, 11, 1, 0
2022/05/01 13:45:23.876, 11, 1, 0
2022/05/01 13:45:24.077, 11, 1, 0
2022/05/01 13:45:24.277, 11, 1, 0
2022/05/01 13:45:24.478, 0, 0, 0
2022/05/01 13:45:24.679, 0, 0, 164
2022/05/01 13:45:24.879, 0, 0, 264
2022/05/01 13:45:25.080, 0, 0, 352
2022/05/01 13:45:25.281, 0, 0, 434
2022/05/01 13:45:25.481, 4, 0, 514
2022/05/01 13:45:25.682, 4, 0, 600
2022/05/01 13:45:25.883, 4, 0, 694
2022/05/01 13:45:26.083, 4, 0, 760
2022/05/01 13:45:26.284, 4, 0, 836
2022/05/01 13:45:26.484, 5, 0, 916
2022/05/01 13:45:26.685, 5, 0, 992
2022/05/01 13:45:26.886, 5, 0, 1076
2022/05/01 13:45:27.086, 5, 0, 1160
2022/05/01 13:45:27.287, 5, 0, 1262
2022/05/01 13:45:27.488, 5, 0, 1404
2022/05/01 13:45:27.688, 5, 0, 1598
2022/05/01 13:45:27.889, 5, 0, 3112
2022/05/01 13:45:28.089, 5, 0, 5046
2022/05/01 13:45:28.290, 5, 0, 5046
2022/05/01 13:45:28.492, 56, 9, 5046
2022/05/01 13:45:28.692, 56, 9, 5046
2022/05/01 13:45:28.893, 56, 9, 5046
2022/05/01 13:45:29.094, 56, 9, 0
2022/05/01 13:45:29.294, 56, 9, 0
2022/05/01 13:45:29.495, 10, 1, 0
2022/05/01 13:45:29.696, 10, 1, 0
2022/05/01 13:45:29.896, 10, 1, 0
2022/05/01 13:45:30.097, 10, 1, 0
2022/05/01 13:45:30.297, 10, 1, 0
2022/05/01 13:45:30.498, 0, 0, 0
2022/05/01 13:45:30.700, 0, 0, 202
2022/05/01 13:45:30.901, 0, 0, 288
2022/05/01 13:45:31.102, 0, 0, 360
2022/05/01 13:45:31.303, 0, 0, 438
2022/05/01 13:45:31.504, 4, 0, 516
2022/05/01 13:45:31.705, 4, 0, 592
2022/05/01 13:45:31.906, 4, 0, 674
2022/05/01 13:45:32.107, 4, 0, 756
2022/05/01 13:45:32.308, 4, 0, 836
2022/05/01 13:45:32.508, 4, 0, 906
2022/05/01 13:45:32.709, 4, 0, 978
2022/05/01 13:45:32.910, 4, 0, 1056
2022/05/01 13:45:33.111, 4, 0, 1154
2022/05/01 13:45:33.312, 4, 0, 1228
2022/05/01 13:45:33.512, 6, 0, 1404
2022/05/01 13:45:33.713, 6, 0, 1596
2022/05/01 13:45:33.914, 6, 0, 2080
2022/05/01 13:45:34.115, 6, 0, 5046
2022/05/01 13:45:34.316, 6, 0, 5046
2022/05/01 13:45:34.517, 56, 9, 5046
2022/05/01 13:45:34.718, 56, 9, 5046
2022/05/01 13:45:34.919, 56, 9, 0
2022/05/01 13:45:35.119, 56, 9, 0
2022/05/01 13:45:35.320, 56, 9, 0
2022/05/01 13:45:35.521, 11, 1, 0
2022/05/01 13:45:35.721, 11, 1, 0
2022/05/01 13:45:35.922, 11, 1, 0
2022/05/01 13:45:36.123, 11, 1, 0
2022/05/01 13:45:36.324, 11, 1, 0
2022/05/01 13:45:36.525, 0, 0, 0
2022/05/01 13:45:36.727, 0, 0, 200
2022/05/01 13:45:36.927, 0, 0, 294
2022/05/01 13:45:37.128, 0, 0, 370
2022/05/01 13:45:37.329, 0, 0, 458
2022/05/01 13:45:37.529, 4, 0, 518
2022/05/01 13:45:37.730, 4, 0, 596
2022/05/01 13:45:37.930, 4, 0, 674
2022/05/01 13:45:38.131, 4, 0, 752
2022/05/01 13:45:38.332, 4, 0, 826
2022/05/01 13:45:38.532, 4, 0, 912
2022/05/01 13:45:38.733, 4, 0, 1006
2022/05/01 13:45:38.933, 4, 0, 1088
2022/05/01 13:45:39.134, 4, 0, 1168
2022/05/01 13:45:39.335, 4, 0, 1306
2022/05/01 13:45:39.535, 5, 0, 1404
2022/05/01 13:45:39.736, 5, 0, 1602
2022/05/01 13:45:39.937, 5, 0, 5046
2022/05/01 13:45:40.137, 5, 0, 5046
2022/05/01 13:45:40.338, 5, 0, 5046
2022/05/01 13:45:40.552, 56, 9, 5046
2022/05/01 13:45:40.753, 56, 9, 5046
2022/05/01 13:45:40.953, 56, 9, 0
2022/05/01 13:45:41.171, 56, 9, 0
2022/05/01 13:45:41.371, 56, 9, 0
2022/05/01 13:45:41.572, 11, 1, 0
2022/05/01 13:45:41.773, 11, 1, 0
2022/05/01 13:45:41.973, 11, 1, 0
2022/05/01 13:45:42.174, 11, 1, 0
2022/05/01 13:45:42.375, 11, 1, 0
2022/05/01 13:45:42.575, 0, 0, 13
2022/05/01 13:45:42.787, 0, 0, 230
2022/05/01 13:45:42.987, 0, 0, 308
2022/05/01 13:45:43.188, 0, 0, 388
2022/05/01 13:45:43.389, 0, 0, 458
2022/05/01 13:45:43.590, 4, 0, 536
2022/05/01 13:45:43.790, 4, 0, 616
2022/05/01 13:45:43.991, 4, 0, 686
2022/05/01 13:45:44.192, 4, 0, 766
2022/05/01 13:45:44.392, 4, 0, 844
2022/05/01 13:45:44.593, 4, 0, 908
2022/05/01 13:45:44.793, 4, 0, 988
2022/05/01 13:45:44.994, 4, 0, 1080
2022/05/01 13:45:45.195, 4, 0, 1166
2022/05/01 13:45:45.395, 4, 0, 1404
2022/05/01 13:45:45.596, 5, 0, 1404
2022/05/01 13:45:45.796, 5, 0, 1612
2022/05/01 13:45:45.997, 5, 0, 5046
2022/05/01 13:45:46.198, 5, 0, 5046
2022/05/01 13:45:46.398, 5, 0, 5046
2022/05/01 13:45:46.600, 56, 9, 5046
2022/05/01 13:45:46.800, 56, 9, 5046
2022/05/01 13:45:47.001, 56, 9, 0
2022/05/01 13:45:47.202, 56, 9, 0
2022/05/01 13:45:47.402, 56, 9, 0
2022/05/01 13:45:47.603, 10, 1, 0
2022/05/01 13:45:47.804, 10, 1, 0
2022/05/01 13:45:48.004, 10, 1, 0
2022/05/01 13:45:48.205, 10, 1, 0
2022/05/01 13:45:48.406, 10, 1, 0
2022/05/01 13:45:48.606, 0, 0, 13
2022/05/01 13:45:48.808, 0, 0, 226
2022/05/01 13:45:49.009, 0, 0, 300
2022/05/01 13:45:49.210, 0, 0, 378
2022/05/01 13:45:49.410, 0, 0, 456
2022/05/01 13:45:49.611, 6, 0, 534
2022/05/01 13:45:49.811, 6, 0, 618
2022/05/01 13:45:50.012, 6, 0, 698
2022/05/01 13:45:50.213, 6, 0, 770
2022/05/01 13:45:50.413, 6, 0, 864
2022/05/01 13:45:50.614, 5, 0, 944
2022/05/01 13:45:50.815, 5, 0, 1030
2022/05/01 13:45:51.015, 5, 0, 1112
2022/05/01 13:45:51.216, 5, 0, 1184
2022/05/01 13:45:51.416, 5, 0, 1404
2022/05/01 13:45:51.617, 5, 0, 1404
2022/05/01 13:45:51.818, 5, 0, 1636
2022/05/01 13:45:52.018, 5, 0, 5046
2022/05/01 13:45:52.220, 5, 0, 5046
2022/05/01 13:45:52.421, 5, 0, 5046
2022/05/01 13:45:52.621, 57, 9, 5046
2022/05/01 13:45:52.822, 57, 9, 5046
2022/05/01 13:45:53.023, 57, 9, 5043
2022/05/01 13:45:53.223, 57, 9, 0
2022/05/01 13:45:53.424, 57, 9, 0
2022/05/01 13:45:53.625, 11, 1, 0
2022/05/01 13:45:53.825, 11, 1, 0
2022/05/01 13:45:54.026, 11, 1, 0
2022/05/01 13:45:54.226, 11, 1, 0
2022/05/01 13:45:54.427, 11, 1, 0
2022/05/01 13:45:54.628, 0, 0, 13
2022/05/01 13:45:54.831, 0, 0, 238
2022/05/01 13:45:55.032, 0, 0, 318
2022/05/01 13:45:55.233, 0, 0, 402
2022/05/01 13:45:55.433, 0, 0, 472
2022/05/01 13:45:55.634, 5, 0, 562
2022/05/01 13:45:55.835, 5, 0, 638
2022/05/01 13:45:56.035, 5, 0, 710
2022/05/01 13:45:56.236, 5, 0, 788
2022/05/01 13:45:56.437, 5, 0, 872
2022/05/01 13:45:56.637, 5, 0, 946
2022/05/01 13:45:56.838, 5, 0, 1028
2022/05/01 13:45:57.038, 5, 0, 1114
2022/05/01 13:45:57.239, 5, 0, 1196
2022/05/01 13:45:57.440, 5, 0, 1404
2022/05/01 13:45:57.640, 5, 0, 1404
2022/05/01 13:45:57.841, 5, 0, 1620
2022/05/01 13:45:58.041, 5, 0, 5046
2022/05/01 13:45:58.242, 5, 0, 5046
2022/05/01 13:45:58.443, 5, 0, 5046
2022/05/01 13:45:58.645, 56, 9, 5046
2022/05/01 13:45:58.845, 56, 9, 5046
2022/05/01 13:45:59.046, 56, 9, 0
2022/05/01 13:45:59.247, 56, 9, 0
2022/05/01 13:45:59.447, 56, 9, 0
2022/05/01 13:45:59.648, 10, 1, 0
2022/05/01 13:45:59.848, 10, 1, 0
2022/05/01 13:46:00.049, 10, 1, 0
2022/05/01 13:46:00.249, 10, 1, 0
2022/05/01 13:46:00.450, 10, 1, 0
2022/05/01 13:46:00.651, 0, 0, 154
2022/05/01 13:46:00.860, 0, 0, 256
2022/05/01 13:46:01.060, 0, 0, 340
2022/05/01 13:46:01.261, 0, 0, 420
2022/05/01 13:46:01.462, 0, 0, 494
2022/05/01 13:46:01.662, 5, 0, 570
2022/05/01 13:46:01.863, 5, 0, 650
2022/05/01 13:46:02.064, 5, 0, 722
2022/05/01 13:46:02.264, 5, 0, 802
2022/05/01 13:46:02.465, 5, 0, 886
2022/05/01 13:46:02.666, 4, 0, 970
2022/05/01 13:46:02.866, 4, 0, 1054
2022/05/01 13:46:03.067, 4, 0, 1134
2022/05/01 13:46:03.268, 4, 0, 1212
2022/05/01 13:46:03.468, 4, 0, 1404
2022/05/01 13:46:03.669, 5, 0, 1574
2022/05/01 13:46:03.869, 5, 0, 1664
2022/05/01 13:46:04.070, 5, 0, 5046
2022/05/01 13:46:04.271, 5, 0, 5046
2022/05/01 13:46:04.472, 5, 0, 5046
2022/05/01 13:46:04.673, 55, 9, 5046
2022/05/01 13:46:04.874, 55, 9, 0
2022/05/01 13:46:05.075, 55, 9, 0
2022/05/01 13:46:05.276, 55, 9, 0
2022/05/01 13:46:05.477, 55, 9, 0
2022/05/01 13:46:05.678, 11, 1, 0
2022/05/01 13:46:05.879, 11, 1, 0
2022/05/01 13:46:06.079, 11, 1, 0
2022/05/01 13:46:06.280, 11, 1, 0
2022/05/01 13:46:06.481, 11, 1, 0
2022/05/01 13:46:06.682, 0, 0, 0
2022/05/01 13:46:06.883, 0, 0, 206
2022/05/01 13:46:07.083, 0, 0, 286
2022/05/01 13:46:07.285, 0, 0, 366
2022/05/01 13:46:07.486, 0, 0, 446
2022/05/01 13:46:07.687, 4, 0, 530
2022/05/01 13:46:07.887, 4, 0, 610
2022/05/01 13:46:08.088, 4, 0, 700
2022/05/01 13:46:08.288, 4, 0, 778
2022/05/01 13:46:08.489, 4, 0, 854
2022/05/01 13:46:08.690, 5, 0, 928
2022/05/01 13:46:08.890, 5, 0, 1004
2022/05/01 13:46:09.091, 5, 0, 1088
2022/05/01 13:46:09.291, 5, 0, 1156
2022/05/01 13:46:09.492, 5, 0, 1262
2022/05/01 13:46:09.693, 5, 0, 1404
2022/05/01 13:46:09.893, 5, 0, 1596
2022/05/01 13:46:10.094, 5, 0, 5046
2022/05/01 13:46:10.294, 5, 0, 5046
2022/05/01 13:46:10.495, 5, 0, 5046
2022/05/01 13:46:10.703, 56, 9, 5046
2022/05/01 13:46:10.904, 56, 9, 5046
2022/05/01 13:46:11.104, 56, 9, 0
2022/05/01 13:46:11.305, 56, 9, 0
2022/05/01 13:46:11.506, 56, 9, 0
2022/05/01 13:46:11.706, 11, 1, 0
2022/05/01 13:46:11.907, 11, 1, 0
2022/05/01 13:46:12.108, 11, 1, 0
2022/05/01 13:46:12.308, 11, 1, 0
2022/05/01 13:46:12.509, 11, 1, 0
2022/05/01 13:46:12.710, 0, 0, 13
2022/05/01 13:46:12.910, 0, 0, 234
2022/05/01 13:46:13.111, 0, 0, 324
2022/05/01 13:46:13.318, 0, 0, 390
2022/05/01 13:46:13.519, 0, 0, 476
2022/05/01 13:46:13.720, 5, 0, 576
2022/05/01 13:46:13.920, 5, 0, 650
2022/05/01 13:46:14.121, 5, 0, 718
2022/05/01 13:46:14.321, 5, 0, 802
2022/05/01 13:46:14.522, 5, 0, 884
2022/05/01 13:46:14.723, 4, 0, 966
2022/05/01 13:46:14.923, 4, 0, 1048
2022/05/01 13:46:15.124, 4, 0, 1128
2022/05/01 13:46:15.325, 4, 0, 1208
2022/05/01 13:46:15.525, 4, 0, 1404
2022/05/01 13:46:15.726, 4, 0, 1570
2022/05/01 13:46:15.926, 4, 0, 1654
2022/05/01 13:46:16.127, 4, 0, 5046
2022/05/01 13:46:16.328, 4, 0, 5046
2022/05/01 13:46:16.532, 4, 0, 5046
2022/05/01 13:46:16.733, 55, 9, 5046
2022/05/01 13:46:16.933, 55, 9, 0
2022/05/01 13:46:17.134, 55, 9, 0
2022/05/01 13:46:17.335, 55, 9, 0
2022/05/01 13:46:17.535, 55, 9, 0
2022/05/01 13:46:17.736, 11, 1, 0
2022/05/01 13:46:17.937, 11, 1, 0
2022/05/01 13:46:18.137, 11, 1, 0
2022/05/01 13:46:18.338, 11, 1, 0
2022/05/01 13:46:18.538, 11, 1, 0
2022/05/01 13:46:18.746, 0, 0, 154
2022/05/01 13:46:18.950, 0, 0, 260
2022/05/01 13:46:19.150, 0, 0, 344
2022/05/01 13:46:19.351, 0, 0, 416
2022/05/01 13:46:19.551, 0, 0, 502
2022/05/01 13:46:19.752, 5, 0, 582
2022/05/01 13:46:19.953, 5, 0, 656
2022/05/01 13:46:20.153, 5, 0, 738
2022/05/01 13:46:20.354, 5, 0, 814
2022/05/01 13:46:20.554, 5, 0, 898
2022/05/01 13:46:20.755, 4, 0, 986
