timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2022/05/07 13:21:05.874, 0, 0, 0
2022/05/07 13:21:06.076, 0, 0, 0
2022/05/07 13:21:06.278, 0, 0, 0
2022/05/07 13:21:06.479, 0, 0, 0
2022/05/07 13:21:06.680, 0, 0, 0
2022/05/07 13:21:06.881, 0, 0, 0
2022/05/07 13:21:07.082, 0, 0, 0
2022/05/07 13:21:07.295, 0, 0, 0
2022/05/07 13:21:07.497, 0, 0, 2
2022/05/07 13:21:07.700, 0, 0, 62
2022/05/07 13:21:07.912, 0, 0, 62
2022/05/07 13:21:08.120, 0, 0, 67
2022/05/07 13:21:08.323, 20, 0, 2723
2022/05/07 13:21:08.524, 60, 1, 3251
2022/05/07 13:21:08.726, 45, 0, 3847
2022/05/07 13:21:08.927, 56, 1, 4407
2022/05/07 13:21:09.128, 45, 0, 4951
2022/05/07 13:21:09.329, 50, 1, 5543
2022/05/07 13:21:09.530, 44, 0, 6093
2022/05/07 13:21:09.731, 49, 1, 6641
2022/05/07 13:21:09.932, 45, 0, 7199
2022/05/07 13:21:10.133, 39, 0, 7733
2022/05/07 13:21:10.334, 45, 0, 8243
2022/05/07 13:21:10.535, 37, 0, 8835
2022/05/07 13:21:10.736, 8, 0, 9327
2022/05/07 13:21:10.937, 16, 0, 9327
2022/05/07 13:21:11.138, 2, 0, 10405
2022/05/07 13:21:11.339, 29, 0, 10991
2022/05/07 13:21:11.540, 52, 2, 21149
2022/05/07 13:21:11.741, 100, 10, 27837
2022/05/07 13:21:11.942, 100, 8, 27837
2022/05/07 13:21:12.146, 100, 11, 27853
2022/05/07 13:21:12.349, 100, 5, 27899
2022/05/07 13:21:12.556, 100, 10, 27899
2022/05/07 13:21:12.762, 100, 8, 27899
2022/05/07 13:21:12.970, 100, 5, 27899
2022/05/07 13:21:13.175, 100, 5, 27906
2022/05/07 13:21:13.378, 100, 4, 27944
2022/05/07 13:21:13.580, 100, 6, 29898
2022/05/07 13:21:13.781, 100, 6, 30140
2022/05/07 13:21:13.982, 100, 7, 30432
2022/05/07 13:21:14.183, 100, 5, 30556
2022/05/07 13:21:14.384, 100, 7, 30658
2022/05/07 13:21:14.585, 88, 8, 25375
2022/05/07 13:21:14.809, 45, 1, 19936
2022/05/07 13:21:15.015, 74, 2, 8970
2022/05/07 13:21:15.291, 100, 3, 3539
2022/05/07 13:21:15.492, 100, 3, 3927
2022/05/07 13:21:15.693, 67, 1, 4467
2022/05/07 13:21:15.894, 54, 0, 4993
2022/05/07 13:21:16.095, 53, 0, 5537
2022/05/07 13:21:16.297, 58, 1, 6127
2022/05/07 13:21:16.497, 40, 0, 6485
2022/05/07 13:21:16.698, 47, 0, 7027
2022/05/07 13:21:16.900, 54, 1, 7423
2022/05/07 13:21:17.109, 19, 0, 7667
2022/05/07 13:21:17.312, 28, 0, 7957
2022/05/07 13:21:17.514, 18, 0, 8117
2022/05/07 13:21:17.723, 12, 0, 8275
2022/05/07 13:21:17.929, 17, 0, 8528
2022/05/07 13:21:18.135, 70, 1, 11600
2022/05/07 13:21:18.336, 54, 1, 12422
2022/05/07 13:21:18.537, 55, 1, 13904
2022/05/07 13:21:18.738, 71, 1, 18086
2022/05/07 13:21:18.939, 100, 6, 25082
2022/05/07 13:21:19.140, 100, 10, 31858
2022/05/07 13:21:19.342, 100, 8, 31912
2022/05/07 13:21:19.544, 100, 6, 31976
2022/05/07 13:21:19.745, 100, 6, 32156
2022/05/07 13:21:19.946, 100, 8, 32226
2022/05/07 13:21:20.147, 100, 9, 32308
2022/05/07 13:21:20.349, 100, 5, 32406
2022/05/07 13:21:20.550, 100, 6, 32474
2022/05/07 13:21:20.751, 100, 5, 32530
2022/05/07 13:21:20.952, 100, 4, 32604
2022/05/07 13:21:21.154, 100, 5, 32632
2022/05/07 13:21:21.356, 100, 8, 32668
2022/05/07 13:21:21.557, 100, 6, 32708
2022/05/07 13:21:21.760, 100, 5, 27193
2022/05/07 13:21:21.961, 100, 10, 27337
2022/05/07 13:21:22.169, 46, 5, 27573
2022/05/07 13:21:22.371, 18, 0, 27773
2022/05/07 13:21:22.577, 8, 0, 27941
2022/05/07 13:21:22.784, 13, 0, 28097
2022/05/07 13:21:22.992, 9, 0, 28245
2022/05/07 13:21:23.204, 20, 0, 28475
2022/05/07 13:21:23.407, 52, 0, 25117
2022/05/07 13:21:23.617, 71, 2, 14229
2022/05/07 13:21:23.856, 100, 4, 9136
2022/05/07 13:21:24.057, 100, 4, 9806
2022/05/07 13:21:24.258, 98, 4, 10680
2022/05/07 13:21:24.459, 79, 1, 11608
2022/05/07 13:21:24.660, 88, 1, 12584
2022/05/07 13:21:24.861, 80, 1, 13620
2022/05/07 13:21:25.062, 84, 1, 14590
2022/05/07 13:21:25.264, 43, 1, 15594
2022/05/07 13:21:25.465, 45, 1, 16596
2022/05/07 13:21:25.666, 73, 1, 20522
2022/05/07 13:21:25.867, 100, 6, 30760
2022/05/07 13:21:26.069, 100, 10, 30902
2022/05/07 13:21:26.270, 100, 7, 34312
2022/05/07 13:21:26.471, 100, 6, 34364
2022/05/07 13:21:26.673, 100, 10, 34430
2022/05/07 13:21:26.874, 100, 8, 34504
2022/05/07 13:21:27.075, 100, 5, 34532
2022/05/07 13:21:27.278, 100, 8, 34636
2022/05/07 13:21:27.482, 100, 5, 34746
2022/05/07 13:21:27.687, 100, 5, 34794
2022/05/07 13:21:27.899, 100, 6, 34852
2022/05/07 13:21:28.111, 100, 8, 34906
2022/05/07 13:21:28.320, 100, 5, 34966
2022/05/07 13:21:28.538, 100, 7, 35027
2022/05/07 13:21:28.740, 98, 5, 29536
2022/05/07 13:21:28.983, 96, 3, 31992
2022/05/07 13:21:29.184, 64, 2, 21146
2022/05/07 13:21:29.422, 100, 4, 10216
2022/05/07 13:21:29.692, 100, 3, 10916
2022/05/07 13:21:29.893, 100, 4, 11652
2022/05/07 13:21:30.094, 91, 2, 12884
2022/05/07 13:21:30.313, 81, 1, 13698
2022/05/07 13:21:30.515, 46, 1, 15106
2022/05/07 13:21:30.716, 70, 1, 19168
2022/05/07 13:21:30.917, 92, 5, 19824
2022/05/07 13:21:31.118, 100, 7, 29850
2022/05/07 13:21:31.319, 100, 8, 33276
2022/05/07 13:21:31.520, 100, 8, 33318
2022/05/07 13:21:31.721, 100, 6, 33404
2022/05/07 13:21:31.922, 100, 8, 33468
2022/05/07 13:21:32.124, 100, 11, 33554
2022/05/07 13:21:32.333, 100, 7, 33668
2022/05/07 13:21:32.539, 100, 5, 33722
2022/05/07 13:21:32.754, 100, 5, 33768
2022/05/07 13:21:32.980, 100, 7, 33816
2022/05/07 13:21:33.188, 100, 7, 33854
2022/05/07 13:21:33.405, 100, 6, 33902
2022/05/07 13:21:33.618, 100, 4, 33986
2022/05/07 13:21:33.825, 100, 7, 28644
2022/05/07 13:21:34.029, 100, 8, 31332
2022/05/07 13:21:34.233, 68, 1, 31994
2022/05/07 13:21:34.436, 54, 1, 21040
2022/05/07 13:21:34.659, 100, 3, 10012
2022/05/07 13:21:34.875, 100, 4, 10688
2022/05/07 13:21:35.076, 100, 3, 11334
2022/05/07 13:21:35.277, 96, 2, 12158
2022/05/07 13:21:35.478, 92, 1, 13260
2022/05/07 13:21:35.680, 90, 1, 14194
2022/05/07 13:21:35.881, 51, 1, 15366
2022/05/07 13:21:36.082, 62, 1, 16558
2022/05/07 13:21:36.283, 83, 1, 23830
2022/05/07 13:21:36.484, 100, 7, 27366
2022/05/07 13:21:36.685, 100, 7, 30840
2022/05/07 13:21:36.887, 100, 8, 34254
2022/05/07 13:21:37.088, 100, 8, 34290
2022/05/07 13:21:37.290, 100, 8, 34366
2022/05/07 13:21:37.494, 100, 5, 34502
2022/05/07 13:21:37.698, 100, 6, 34540
2022/05/07 13:21:37.905, 100, 8, 34592
2022/05/07 13:21:38.119, 100, 5, 34640
2022/05/07 13:21:38.325, 100, 5, 34700
2022/05/07 13:21:38.539, 100, 6, 34746
2022/05/07 13:21:38.749, 100, 4, 34839
2022/05/07 13:21:38.951, 100, 3, 34905
2022/05/07 13:21:39.152, 100, 4, 36609
2022/05/07 13:21:39.353, 100, 4, 37155
2022/05/07 13:21:39.555, 100, 8, 37649
2022/05/07 13:21:39.756, 100, 7, 37881
2022/05/07 13:21:39.957, 100, 5, 32478
2022/05/07 13:21:40.161, 72, 2, 21624
2022/05/07 13:21:40.419, 100, 3, 16425
2022/05/07 13:21:40.670, 93, 3, 11150
2022/05/07 13:21:40.871, 100, 3, 11832
2022/05/07 13:21:41.072, 93, 1, 12994
2022/05/07 13:21:41.296, 58, 1, 14004
2022/05/07 13:21:41.509, 45, 1, 15280
2022/05/07 13:21:41.710, 53, 1, 15826
2022/05/07 13:21:41.911, 61, 2, 23124
2022/05/07 13:21:42.112, 100, 7, 26650
2022/05/07 13:21:42.323, 100, 9, 28730
2022/05/07 13:21:42.529, 100, 6, 31674
2022/05/07 13:21:42.739, 100, 8, 33630
2022/05/07 13:21:42.950, 100, 8, 33670
2022/05/07 13:21:43.167, 100, 5, 33732
2022/05/07 13:21:43.385, 100, 7, 33782
2022/05/07 13:21:43.597, 100, 4, 33833
2022/05/07 13:21:43.810, 100, 7, 33912
2022/05/07 13:21:44.011, 100, 3, 34429
2022/05/07 13:21:44.212, 100, 5, 36017
2022/05/07 13:21:44.414, 100, 4, 36179
2022/05/07 13:21:44.615, 100, 5, 36637
2022/05/07 13:21:44.816, 100, 8, 36877
2022/05/07 13:21:45.017, 100, 4, 31420
2022/05/07 13:21:45.218, 100, 8, 31620
2022/05/07 13:21:45.419, 100, 9, 26211
2022/05/07 13:21:45.632, 74, 4, 26787
2022/05/07 13:21:45.834, 75, 3, 15857
